Date,PUNJAB,HARYANA,RAJASTHAN,UTTAR PRADESH,HIMACHAL PRADESH,GUJARAT,MADHYA PRADESH,ANDHRA PRADESH,TELANGANA,KARNATAKA,BIHAR,ORISSA
2018-01-01,105.4,109.4,202.8,281.9,26.5,283.1,223,153.6,184.8,197.1,74.4,68.6
2018-01-02,98.4,116.9,206.1,289,26.6,291.9,222.6,164.1,185.5,205,70.4,65.8
2018-01-03,109.4,122.3,207.5,295.4,27.9,293.3,220.9,179.9,184.4,208.5,67.5,68
2018-01-04,107.6,122.6,214.6,289.8,27.7,297.1,223.9,164.1,182.4,209,70.7,67.4
2018-01-05,108,125.1,212.4,292.6,28,301.4,225.7,163.3,183.1,210.1,69,67.5
2018-01-06,104,123.4,211.7,301.5,28,297,225.9,163.9,179.6,206.9,72,66.3
2018-01-07,100.3,108.8,209.8,299,25.4,285.8,224.1,162.1,176.9,194.8,72.3,62.6
2018-01-08,105.4,123.3,209.3,305.3,26.6,296.2,225.2,162.2,177.8,202.6,71.5,68.5
2018-01-09,108.2,128.5,211.5,310.5,27.6,299.4,227.1,165.2,179.7,204.7,73.9,67.7
2018-01-10,108.7,129.9,216.9,309.9,27.9,302.2,227,165.6,180.7,206.6,74.7,70.2
2018-01-11,105.6,127.1,217.5,307.9,28.1,303.6,225.4,167.3,180.1,211.5,74.6,77.6
2018-01-12,105.9,125.3,219.7,309.2,28.3,307.9,227.7,172.6,180.6,213.5,73.4,77.8
2018-01-13,102.5,126.4,213,310.6,27.8,303.8,225.7,170,183.6,210,74,79.8
2018-01-14,94,116.2,206.2,301.5,25.5,244.4,220.5,166.9,171.7,196.9,80.9,77.3
2018-01-15,102.8,126,207.6,300.8,26.6,269,218.6,158.2,165.1,200.4,72.8,71.1
2018-01-16,106.5,125.6,187.4,306,27.8,300.5,219.2,155.8,171.8,210.5,73.7,77.6
2018-01-17,108.3,125.9,213.5,306.9,28.2,305.2,221.1,160.1,177.7,210.6,73.2,75.6
2018-01-18,107.2,123.4,213.9,299.4,28.1,309.5,222.4,166.2,178.5,210.4,73.8,74.4
