Date,Open,High,Low,Close,Adj Close,Volume
03-01-2011,315.5,318,314.549988,317.299988,119.972588,2929118
04-01-2011,318.899994,320,316.049988,319.200012,120.691017,2716995
05-01-2011,320,320,308.25,309.799988,117.13678,8555905
06-01-2011,311,313,308.5,309.100006,116.872162,2763146
07-01-2011,310,313.5,302.149994,309.100006,116.872162,2298583
10-01-2011,309.899994,310,302.100006,305.149994,115.378601,5413595
11-01-2011,306,312.950012,306,309.049988,116.853218,2781948
12-01-2011,309.899994,312.899994,306.25,308.5,116.645294,1181115
13-01-2011,309.399994,313.950012,307.5,310.450012,117.382614,2070696
14-01-2011,310.450012,315.5,307.950012,310.5,117.401466,2244505
17-01-2011,307.25,314,306.200012,313.149994,118.403442,1707118
18-01-2011,313.5,313.950012,308,311.149994,117.647247,844507
19-01-2011,311,312.700012,307.950012,309.399994,116.98558,1426048
20-01-2011,308.799988,319.200012,308.100006,315.700012,119.367668,6121175
21-01-2011,316.450012,316.450012,312,314.149994,118.78157,2413133
24-01-2011,314.899994,314.899994,309,310.450012,117.382614,1097986
25-01-2011,311,315.700012,308.549988,310,117.212456,2452476
27-01-2011,311,312.899994,307.200012,308.299988,116.569656,2455783
28-01-2011,307.049988,309.700012,303.049988,305.049988,115.340813,4236476
31-01-2011,302,307.5,300.549988,304.350006,115.076157,3673855
01-02-2011,305.5,309.850006,303.5,308.299988,116.569656,4863055
02-02-2011,310.100006,314.899994,308.549988,312.5,118.157707,3374631
03-02-2011,311,320,310.899994,317.350006,119.991508,4211492
04-02-2011,317.350006,318.100006,307,308.149994,116.512917,1688679
07-02-2011,309.399994,310.450012,304.149994,304.649994,115.189598,1799233
08-02-2011,306.899994,307.450012,296.200012,301.399994,113.960724,3841730
09-02-2011,302,307.850006,297,298.700012,112.939842,4490558
10-02-2011,300.100006,304,293.25,297.649994,112.542854,2690945
11-02-2011,298.100006,305,298,304.600006,115.170692,3292240
14-02-2011,306,307,300.100006,302.799988,114.490082,1942474
15-02-2011,304.5,307.850006,302,302.450012,114.357742,3035367
16-02-2011,304.25,304.450012,300.450012,301.100006,113.847328,1619527
17-02-2011,302.950012,306.399994,302,305.049988,115.340813,2752128
18-02-2011,303.899994,305.200012,300.100006,302.350006,115.646812,1990388
21-02-2011,301.5,303.899994,300,301.850006,115.455589,953044
22-02-2011,302.5,303.5,300.299988,301.350006,115.264328,1436876
23-02-2011,302.399994,302.399994,299,300.649994,114.996582,2131294
24-02-2011,301.399994,303,298.25,299.299988,114.480209,2899140
25-02-2011,300.100006,303,289,292.649994,111.936615,1964843
28-02-2011,299,331.75,296.100006,327.700012,125.343033,20923045
01-03-2011,325,339.899994,320.649994,338.600006,129.512192,7867356
03-03-2011,338,338,327.200012,329.049988,125.85939,4387230
04-03-2011,332.700012,334.950012,323.25,324.25,124.023453,1402888
07-03-2011,322,343.549988,318.399994,341,130.430191,7183263
08-03-2011,343,344.5,335.350006,337.25,128.995834,3110206
09-03-2011,339.799988,341.200012,336.049988,339.549988,129.875549,1603527
10-03-2011,339.799988,339.799988,329.75,334.299988,127.86747,1612997
11-03-2011,334.950012,335,328.100006,329.950012,126.203606,856545
14-03-2011,330.899994,335.75,327.049988,333.799988,127.676208,1128910
15-03-2011,329,342.899994,320.149994,338.450012,129.454819,4638465
16-03-2011,339.100006,347.899994,333.5,343.899994,131.539398,3717632
17-03-2011,342,347.5,338.5,342.950012,131.176056,1815524
18-03-2011,343.5,347,337.600006,344.399994,131.730652,2926170
21-03-2011,343.350006,349.899994,343.299988,347.149994,132.782516,3943734
22-03-2011,347.5,371.399994,347.399994,360,137.69754,9681241
23-03-2011,361,363.799988,352.049988,353.899994,135.364334,2695567
24-03-2011,353.899994,361.350006,353.899994,358.299988,137.047302,2324343
25-03-2011,360,362,356.549988,358.100006,136.970795,2203586
28-03-2011,359.850006,360,349.350006,350.950012,134.235992,1128268
29-03-2011,352,352,340.649994,346.25,132.438263,6481785
30-03-2011,347,350.5,340.100006,341.399994,130.583206,2449230
31-03-2011,342.399994,348.899994,341.399994,346.5,132.53389,3248352
01-04-2011,347,348.5,342.600006,346.899994,132.68689,2169798
04-04-2011,347.350006,360.950012,345.350006,355.950012,136.148483,2719239
05-04-2011,351.100006,361,351.100006,358.75,137.219406,1328250
06-04-2011,358.75,367.799988,354.799988,366.450012,140.164642,4513558
07-04-2011,367.299988,370.799988,358.299988,359.649994,137.56369,2485182
08-04-2011,363,363.700012,351.5,355.25,135.880661,2121665
11-04-2011,356.399994,363,352.600006,357.600006,136.779572,2751598
13-04-2011,358,359.399994,350,353.899994,135.364334,1432901
15-04-2011,355,358.75,350.5,357.450012,136.722168,2609120
18-04-2011,359.049988,359.25,350.450012,352.700012,134.90535,979661
19-04-2011,352,354.799988,345.899994,349.600006,133.71965,1488088
20-04-2011,351.5,368.899994,351,366.549988,140.202866,4296720
21-04-2011,369.700012,369.75,358.049988,362.299988,138.577286,4895594
25-04-2011,363,365.299988,359.5,364.149994,139.284897,1832622
26-04-2011,361.549988,365,358.100006,364.450012,139.399658,1277232
27-04-2011,360,377,359.450012,370.850006,141.847626,3734876
28-04-2011,372,381.799988,370.75,376.700012,144.08519,7546827
29-04-2011,376.700012,383.299988,374.5,380.549988,145.557816,3799109
02-05-2011,362,382.950012,362,379.700012,145.232635,1855839
03-05-2011,378,384.5,368.549988,371.5,142.096191,2031295
04-05-2011,371,374.799988,361.299988,371.700012,142.172729,2881731
05-05-2011,370.950012,374.950012,365.25,368.299988,140.872223,1537387
06-05-2011,369.450012,372.899994,365.549988,369.75,141.426849,2241153
09-05-2011,370,393.899994,368.649994,392.299988,150.052063,6109075
10-05-2011,392,396.350006,385,386.149994,147.699753,3322937
