,AVG_South-ONGCEnergy,Volume_South-ONGCEnergy,AVG_East-COALIndia,Volume_East-COALIndia,AVG_West-BPCLEnergy,Volume_West-BPCLEnergy,AVG_West-RelianceEnergy,Volume_West-RelianceEnergy,AVG_East-OILEnergy,Volume_East-OILEnergy,AVG_South-HPCLEnergy,Volume_South-HPCLEnergy,AVG_North-GAILEnergy,Volume_North-GAILEnergy,AVG_North-IOCLEnergy,Volume_North-IOCLEnergy
1997-01-01,18.166666,91800.0,NULL,NULL,23.958332,0.0,15.3523095,141420708.0,NULL,NULL,49.925923999999995,22275.0,NULL,NULL,15.833333,3600.0
1997-01-02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1997-01-03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1997-01-04,22.5249985,690300.0,NULL,NULL,30.958333,16800.0,18.0639555,239607010.0,NULL,NULL,55.4814815,614250.0,NULL,NULL,17.361111,3600.0
1997-01-05,27.672222,0.0,NULL,NULL,31.941666,0.0,22.114466,0.0,NULL,NULL,61.385185,0.0,NULL,NULL,19.961111,0.0
1997-01-06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1997-01-07,41.013887499999996,1554300.0,NULL,NULL,38.491667,1140000.0,26.2703,221068676.0,NULL,NULL,66.996296,110700.0,NULL,NULL,22.8555555,12600.0
1997-01-08,40.36389,226800.0,NULL,NULL,37.874998,13200.0,25.8561445,151364538.0,NULL,NULL,72.962963,321300.0,NULL,NULL,21.694445,0.0
1997-01-09,32.5,2069100.0,NULL,NULL,35.862499,12000.0,23.917468999999997,138210198.0,NULL,NULL,71.296295,101250.0,NULL,NULL,22.069444,9000.0
1997-01-10,37.7722225,279000.0,NULL,NULL,37.28125,159600.0,25.649068,120618561.0,NULL,NULL,70.6703725,152550.0,NULL,NULL,19.944445,1800.0
1997-01-11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1997-01-12,34.866667,130500.0,NULL,NULL,35.2854155,44400.0,22.650011,52051582.0,NULL,NULL,70.7407415,178200.0,NULL,NULL,18.611111,108000.0
1997-01-13,21.499999,180900.0,NULL,NULL,25.729166,260400.0,15.762894,83641324.0,NULL,NULL,53.481480000000005,158625.0,NULL,NULL,15.416666,72000.0
1997-01-14,20.844443,185400.0,NULL,NULL,25.98125,151200.0,16.319861,107571355.0,NULL,NULL,52.888887,63450.0,NULL,NULL,15.4166665,7200.0
1997-01-15,20.908334,177300.0,NULL,NULL,27.16875,28800.0,17.1678085,183709118.0,NULL,NULL,53.666666500000005,205200.0,NULL,NULL,15.833333,0.0
1997-01-16,21.4333325,210600.0,NULL,NULL,28.752083,159600.0,17.9282835,213098067.0,NULL,NULL,53.922219999999996,164700.0,NULL,NULL,16.666666,25200.0
1997-01-17,19.9388885,128700.0,NULL,NULL,28.958332,98400.0,17.1374615,182292572.0,NULL,NULL,52.2148155,67500.0,NULL,NULL,17.777777,3600.0
1997-01-18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1997-01-19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1997-01-20,19.869443500000003,125100.0,NULL,NULL,29.168749,19200.0,17.058915,107635775.0,NULL,NULL,51.637035499999996,62100.0,NULL,NULL,16.666666,3600.0
1997-01-21,19.1083325,167400.0,NULL,NULL,29.291666,32400.0,16.605486,113626861.0,NULL,NULL,51.666666,116775.0,NULL,NULL,16.73611,219600.0
1997-01-22,19.447221499999998,80100.0,NULL,NULL,29.35625,45600.0,17.262422,146174505.0,NULL,NULL,53.2592585,388800.0,NULL,NULL,17.549999,36000.0
1997-01-23,19.477777,0.0,NULL,NULL,29.8375,0.0,17.573038,0.0,NULL,NULL,53.65926,0.0,NULL,NULL,17.549999,0.0
1997-01-24,19.280555,60300.0,NULL,NULL,29.3812495,42000.0,18.321016,260159179.0,NULL,NULL,54.240739500000004,296325.0,NULL,NULL,17.5277765,158400.0
1997-01-25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1997-01-26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
