Latitude,Longitude,State Name
21.5,70.5,GUJARAT
22.5,70.5,GUJARAT
23.5,70.5,GUJARAT
26.5,70.5,RAJASTHAN
21.5,71.5,GUJARAT
22.5,71.5,GUJARAT
23.5,71.5,GUJARAT
24.5,71.5,GUJARAT
25.5,71.5,RAJASTHAN
26.5,71.5,RAJASTHAN
22.5,72.5,GUJARAT
23.5,72.5,GUJARAT
24.5,72.5,RAJASTHAN
25.5,72.5,RAJASTHAN
26.5,72.5,RAJASTHAN
16.5,73.5,MAHARASHTRA
17.5,73.5,MAHARASHTRA
18.5,73.5,MAHARASHTRA
19.5,73.5,MAHARASHTRA
20.5,73.5,GUJARAT
21.5,73.5,GUJARAT
22.5,73.5,GUJARAT
23.5,73.5,GUJARAT
24.5,73.5,RAJASTHAN
25.5,73.5,RAJASTHAN
26.5,73.5,RAJASTHAN
27.5,73.5,RAJASTHAN
28.5,73.5,RAJASTHAN
29.5,73.5,RAJASTHAN
14.5,74.5,KARNATAKA
15.5,74.5,KARNATAKA
16.5,74.5,KARNATAKA
17.5,74.5,MAHARASHTRA
18.5,74.5,MAHARASHTRA
19.5,74.5,MAHARASHTRA
20.5,74.5,MAHARASHTRA
21.5,74.5,MAHARASHTRA
22.5,74.5,MADHYA PRADESH
23.5,74.5,RAJASTHAN
24.5,74.5,RAJASTHAN
25.5,74.5,RAJASTHAN
26.5,74.5,RAJASTHAN
27.5,74.5,RAJASTHAN
28.5,74.5,RAJASTHAN
29.5,74.5,RAJASTHAN
30.5,74.5,PUNJAB
13.5,75.5,KARNATAKA
14.5,75.5,KARNATAKA
15.5,75.5,KARNATAKA
16.5,75.5,KARNATAKA
17.5,75.5,MAHARASHTRA
18.5,75.5,MAHARASHTRA
19.5,75.5,MAHARASHTRA
20.5,75.5,MAHARASHTRA
21.5,75.5,MADHYA PRADESH
22.5,75.5,MADHYA PRADESH
23.5,75.5,MADHYA PRADESH
24.5,75.5,MADHYA PRADESH
25.5,75.5,RAJASTHAN
26.5,75.5,RAJASTHAN
27.5,75.5,RAJASTHAN
28.5,75.5,RAJASTHAN
29.5,75.5,HARYANA
30.5,75.5,PUNJAB
31.5,75.5,PUNJAB
14.5,76.5,KARNATAKA
15.5,76.5,KARNATAKA
16.5,76.5,KARNATAKA
17.5,76.5,KARNATAKA
18.5,76.5,MAHARASHTRA
19.5,76.5,MAHARASHTRA
20.5,76.5,MAHARASHTRA
21.5,76.5,MADHYA PRADESH
22.5,76.5,MADHYA PRADESH
23.5,76.5,MADHYA PRADESH
24.5,76.5,RAJASTHAN
25.5,76.5,MADHYA PRADESH
26.5,76.5,RAJASTHAN
27.5,76.5,RAJASTHAN
28.5,76.5,HARYANA
29.5,76.5,HARYANA
30.5,76.5,PUNJAB
31.5,76.5,HIMACHAL PRADESH
15.5,77.5,ANDHRA PRADESH
16.5,77.5,TELANGANA
17.5,77.5,KARNATAKA
18.5,77.5,MAHARASHTRA
19.5,77.5,MAHARASHTRA
20.5,77.5,MAHARASHTRA
21.5,77.5,MAHARASHTRA
22.5,77.5,MADHYA PRADESH
23.5,77.5,MADHYA PRADESH
24.5,77.5,MADHYA PRADESH
25.5,77.5,MADHYA PRADESH
26.5,77.5,RAJASTHAN
27.5,77.5,UTTAR PRADESH
28.5,77.5,UTTAR PRADESH
29.5,77.5,UTTAR PRADESH
30.5,77.5,HIMACHAL PRADESH
31.5,77.5,HIMACHAL PRADESH
16.5,78.5,TELANGANA
17.5,78.5,TELANGANA
18.5,78.5,TELANGANA
19.5,78.5,TELANGANA
20.5,78.5,MAHARASHTRA
21.5,78.5,MADHYA PRADESH
22.5,78.5,MADHYA PRADESH
23.5,78.5,MADHYA PRADESH
24.5,78.5,UTTAR PRADESH
25.5,78.5,UTTAR PRADESH
26.5,78.5,MADHYA PRADESH
27.5,78.5,UTTAR PRADESH
28.5,78.5,UTTAR PRADESH
29.5,78.5,UTTAR PRADESH
30.5,78.5,UTTAR PRADESH
16.5,79.5,ANDHRA PRADESH
17.5,79.5,TELANGANA
18.5,79.5,TELANGANA
19.5,79.5,MAHARASHTRA
20.5,79.5,MAHARASHTRA
21.5,79.5,MAHARASHTRA
