Year,Month,Date,Equity Type,Commodity Name,Expiry,Price Unit,C/P Option,Strike Price,Open Price,Spot Price,Trading Volume Lots,Lot Size Units
2022,April,2022-04-01,FUTCOM,COTTON,2022-04-29,1 BALES,N.A.,N.A.,42100,43370,1664,25 BALES
2022,April,2022-04-01,FUTCOM,COTTON,2022-05-31,1 BALES,N.A.,N.A.,42420,43370,78,25 BALES
2022,April,2022-04-01,FUTCOM,CRUDEOIL,2022-04-19,1 BBL,N.A.,N.A.,7600,7525,77514,100 BBL
2022,April,2022-04-01,FUTCOM,CRUDEOIL,2022-05-19,1 BBL,N.A.,N.A.,7536,7525,4285,100 BBL
2022,April,2022-04-01,FUTCOM,CRUDEOIL,2022-06-17,1 BBL,N.A.,N.A.,7397,7525,9,100 BBL
2022,April,2022-04-01,OPTFUT,CRUDEOIL,2022-04-14,1 BBL,CE,6000,1534.3,-,35,100 BBL
2022,April,2022-04-01,OPTFUT,CRUDEOIL,2022-04-14,1 BBL,CE,6500,1091.9,-,13,100 BBL
2022,April,2022-04-01,OPTFUT,CRUDEOIL,2022-04-14,1 BBL,CE,7000,760,-,76,100 BBL
2022,April,2022-04-01,OPTFUT,CRUDEOIL,2022-04-14,1 BBL,CE,7100,611.1,-,2,100 BBL
2022,April,2022-04-01,OPTFUT,CRUDEOIL,2022-04-14,1 BBL,CE,7200,594,-,52,100 BBL
2022,April,2022-04-01,OPTFUT,CRUDEOIL,2022-04-14,1 BBL,CE,7300,600,-,47,100 BBL
2022,April,2022-04-01,OPTFUT,CRUDEOIL,2022-04-14,1 BBL,CE,7400,520,-,341,100 BBL
2022,April,2022-04-01,OPTFUT,CRUDEOIL,2022-04-14,1 BBL,CE,7450,-,-,-,100 BBL
2022,April,2022-04-01,OPTFUT,CRUDEOIL,2022-04-14,1 BBL,CE,7500,502,-,8945,100 BBL
2022,April,2022-04-01,OPTFUT,CRUDEOIL,2022-04-14,1 BBL,CE,7550,453.2,-,9,100 BBL
2022,April,2022-04-01,OPTFUT,CRUDEOIL,2022-04-14,1 BBL,CE,7600,425,-,6229,100 BBL
2022,April,2022-04-01,OPTFUT,CRUDEOIL,2022-04-14,1 BBL,CE,7650,453.2,-,2,100 BBL
2022,April,2022-04-01,OPTFUT,CRUDEOIL,2022-04-14,1 BBL,CE,7700,438,-,5208,100 BBL
2022,April,2022-04-01,OPTFUT,CRUDEOIL,2022-04-14,1 BBL,CE,7750,350.5,-,1,100 BBL
