Year,Month,Date,Equity Type,Commodity Name,Expiry,Price Unit,C/P Option,Strike Price,Open Price,Spot Price,Trading Volume Lots,Lot Size Units
2021,August,2021-08-02,FUTCOM,COTTON,2021-08-31,1 BALES,N.A.,N.A.,27470,27390,958,25 BALES
2021,August,2021-08-02,FUTCOM,COTTON,2021-10-29,1 BALES,N.A.,N.A.,26300,27390,7,25 BALES
2021,August,2021-08-02,FUTCOM,CRUDEOIL,2021-08-19,1 BBL,N.A.,N.A.,5494,5292,75654,100 BBL
2021,August,2021-08-02,FUTCOM,CRUDEOIL,2021-09-20,1 BBL,N.A.,N.A.,5431,5292,1624,100 BBL
2021,August,2021-08-02,FUTCOM,CRUDEOIL,2021-10-19,1 BBL,N.A.,N.A.,5425,5292,6,100 BBL
2021,August,2021-08-02,OPTFUT,CRUDEOIL,2021-08-17,1 BBL,CE,4600,-,-,-,100 BBL
2021,August,2021-08-02,OPTFUT,CRUDEOIL,2021-08-17,1 BBL,CE,4700,-,-,-,100 BBL
2021,August,2021-08-02,OPTFUT,CRUDEOIL,2021-08-17,1 BBL,CE,4800,656.2,-,12,100 BBL
2021,August,2021-08-02,OPTFUT,CRUDEOIL,2021-08-17,1 BBL,CE,4900,460.9,-,7,100 BBL
2021,August,2021-08-02,OPTFUT,CRUDEOIL,2021-08-17,1 BBL,CE,5000,491.9,-,146,100 BBL
2021,August,2021-08-02,OPTFUT,CRUDEOIL,2021-08-17,1 BBL,CE,5050,-,-,-,100 BBL
2021,August,2021-08-02,OPTFUT,CRUDEOIL,2021-08-17,1 BBL,CE,5100,395.9,-,166,100 BBL
2021,August,2021-08-02,OPTFUT,CRUDEOIL,2021-08-17,1 BBL,CE,5200,312.5,-,1454,100 BBL
2021,August,2021-08-02,OPTFUT,CRUDEOIL,2021-08-17,1 BBL,CE,5250,-,-,-,100 BBL
2021,August,2021-08-02,OPTFUT,CRUDEOIL,2021-08-17,1 BBL,CE,5300,230,-,7280,100 BBL
2021,August,2021-08-02,OPTFUT,CRUDEOIL,2021-08-17,1 BBL,CE,5350,192,-,17,100 BBL
2021,August,2021-08-02,OPTFUT,CRUDEOIL,2021-08-17,1 BBL,CE,5400,178,-,16237,100 BBL
2021,August,2021-08-02,OPTFUT,CRUDEOIL,2021-08-17,1 BBL,CE,5450,165,-,21,100 BBL
