Year,Month,Date,Equity Type,Commodity Name,Expiry,Price Unit,C/P Option,Strike Price,Open Price,Spot Price,Trading Volume Lots,Lot Size Units
2021,December,2021-12-01,FUTCOM,COTTON,2021-12-31,1 BALES,N.A.,N.A.,30850,31270,2206,25 BALES
2021,December,2021-12-01,FUTCOM,COTTON,2022-01-31,1 BALES,N.A.,N.A.,31230,31270,226,25 BALES
2021,December,2021-12-01,FUTCOM,CRUDEOIL,2021-12-17,1 BBL,N.A.,N.A.,4982,4912,126537,100 BBL
2021,December,2021-12-01,FUTCOM,CRUDEOIL,2022-01-19,1 BBL,N.A.,N.A.,5085,4912,6617,100 BBL
2021,December,2021-12-01,FUTCOM,CRUDEOIL,2022-02-18,1 BBL,N.A.,N.A.,-,4912,-,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,4600,-,-,-,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,4700,573,-,1,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,4800,459.5,-,28,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,4900,356,-,188,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,5000,288,-,1740,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,5050,300,-,1,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,5100,250,-,7220,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,5150,268,-,8,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,5200,201,-,18855,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,5250,237.4,-,2,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,5300,150,-,11998,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,5350,-,-,-,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,5400,120,-,8979,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,5450,-,-,-,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,5500,86,-,8501,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,5550,-,-,-,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,5600,60,-,2734,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,5650,-,-,-,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,5700,50,-,1999,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,5750,68.8,-,3,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,5800,38,-,1513,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,5850,-,-,-,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,5900,30,-,1092,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,6000,26,-,1264,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,6050,-,-,-,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,6100,20.5,-,458,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,6150,12.2,-,2,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,6200,18.1,-,422,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,6300,16,-,183,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,6400,12.2,-,96,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,6500,10.1,-,51,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,6550,-,-,-,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,6600,7,-,16,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,6700,6.9,-,78,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,CE,6800,11,-,82,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,PE,4150,46,-,9,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,PE,4200,88,-,7,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,PE,4300,98,-,4,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,PE,4350,75,-,1,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,PE,4400,77.1,-,28,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,PE,4450,113,-,57,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,PE,4500,112,-,4300,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,PE,4600,131,-,1131,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,PE,4700,191.1,-,3160,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,PE,4750,-,-,-,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,PE,4800,110,-,8898,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,PE,4900,212.7,-,7977,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,PE,5000,223,-,18394,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,PE,5050,258,-,1,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,PE,5100,260,-,18157,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,PE,5150,392.9,-,4,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,PE,5200,304.9,-,10216,100 BBL
2021,December,2021-12-01,OPTFUT,CRUDEOIL,2021-12-15,1 BBL,PE,5250,-,-,-,100 BBL
