Year,Month,Date,Equity Type,Commodity Name,Expiry,Price Unit,C/P Option,Strike Price,Open Price,Spot Price,Trading Volume Lots,Lot Size Units
2016,February,2016-02-01,FUTCOM,COTTON,2016-02-29,1 BALES,N.A.,N.A.,16600,16260,2372,25 BALES
2016,February,2016-02-01,FUTCOM,COTTON,2016-03-31,1 BALES,N.A.,N.A.,16660,16260,898,25 BALES
2016,February,2016-02-01,FUTCOM,COTTON,2016-04-29,1 BALES,N.A.,N.A.,16760,16260,192,25 BALES
2016,February,2016-02-01,FUTCOM,COTTON,2016-05-31,1 BALES,N.A.,N.A.,-,16260,-,25 BALES
2016,February,2016-02-01,FUTCOM,CRUDEOIL,2016-02-19,1 BBL,N.A.,N.A.,2276,2146,287883,100 BBL
2016,February,2016-02-01,FUTCOM,CRUDEOIL,2016-03-18,1 BBL,N.A.,N.A.,2371,2146,15416,100 BBL
2016,February,2016-02-01,FUTCOM,CRUDEOIL,2016-04-19,1 BBL,N.A.,N.A.,2487,2146,713,100 BBL
2016,February,2016-02-01,FUTCOM,CRUDEOIL,2016-05-19,1 BBL,N.A.,N.A.,2600,2146,290,100 BBL
2016,February,2016-02-01,FUTCOM,CRUDEOIL,2016-06-20,1 BBL,N.A.,N.A.,2682,2146,244,100 BBL
2016,February,2016-02-01,FUTCOM,CRUDEOIL,2016-07-19,1 BBL,N.A.,N.A.,2746,2146,15,100 BBL
2016,February,2016-02-01,FUTCOM,NATURALGAS,2016-02-24,1 mmBtu,N.A.,N.A.,155,146.1,45104,1250 mmBtu
2016,February,2016-02-01,FUTCOM,NATURALGAS,2016-03-28,1 mmBtu,N.A.,N.A.,155.2,146.1,2155,1250 mmBtu
2016,February,2016-02-01,FUTCOM,NATURALGAS,2016-04-26,1 mmBtu,N.A.,N.A.,160.3,146.1,66,1250 mmBtu
2016,February,2016-02-02,FUTCOM,COTTON,2016-02-29,1 BALES,N.A.,N.A.,16510,16240,1891,25 BALES
2016,February,2016-02-02,FUTCOM,COTTON,2016-03-31,1 BALES,N.A.,N.A.,16640,16240,896,25 BALES
2016,February,2016-02-02,FUTCOM,COTTON,2016-04-29,1 BALES,N.A.,N.A.,16790,16240,291,25 BALES
2016,February,2016-02-02,FUTCOM,COTTON,2016-05-31,1 BALES,N.A.,N.A.,-,16240,-,25 BALES
2016,February,2016-02-02,FUTCOM,CRUDEOIL,2016-02-19,1 BBL,N.A.,N.A.,2109,2027,281385,100 BBL
2016,February,2016-02-02,FUTCOM,CRUDEOIL,2016-03-18,1 BBL,N.A.,N.A.,2266,2027,14874,100 BBL
2016,February,2016-02-02,FUTCOM,CRUDEOIL,2016-04-19,1 BBL,N.A.,N.A.,2370,2027,583,100 BBL
2016,February,2016-02-02,FUTCOM,CRUDEOIL,2016-05-19,1 BBL,N.A.,N.A.,2492,2027,86,100 BBL
2016,February,2016-02-02,FUTCOM,CRUDEOIL,2016-06-20,1 BBL,N.A.,N.A.,2564,2027,52,100 BBL
2016,February,2016-02-02,FUTCOM,CRUDEOIL,2016-07-19,1 BBL,N.A.,N.A.,2652,2027,31,100 BBL
2016,February,2016-02-02,FUTCOM,NATURALGAS,2016-02-24,1 mmBtu,N.A.,N.A.,145.4,137.4,52823,1250 mmBtu
2016,February,2016-02-02,FUTCOM,NATURALGAS,2016-03-28,1 mmBtu,N.A.,N.A.,150.6,137.4,3332,1250 mmBtu
2016,February,2016-02-02,FUTCOM,NATURALGAS,2016-04-26,1 mmBtu,N.A.,N.A.,155.7,137.4,101,1250 mmBtu
2016,February,2016-02-03,FUTCOM,COTTON,2016-02-29,1 BALES,N.A.,N.A.,16490,16270,2638,25 BALES
2016,February,2016-02-03,FUTCOM,COTTON,2016-03-31,1 BALES,N.A.,N.A.,16640,16270,1353,25 BALES
2016,February,2016-02-03,FUTCOM,COTTON,2016-04-29,1 BALES,N.A.,N.A.,16800,16270,293,25 BALES
2016,February,2016-02-03,FUTCOM,COTTON,2016-05-31,1 BALES,N.A.,N.A.,-,16270,-,25 BALES
2016,February,2016-02-03,FUTCOM,CRUDEOIL,2016-02-19,1 BBL,N.A.,N.A.,2061,2201,389312,100 BBL
2016,February,2016-02-03,FUTCOM,CRUDEOIL,2016-03-18,1 BBL,N.A.,N.A.,2177,2201,19244,100 BBL
2016,February,2016-02-03,FUTCOM,CRUDEOIL,2016-04-19,1 BBL,N.A.,N.A.,2307,2201,660,100 BBL
2016,February,2016-02-03,FUTCOM,CRUDEOIL,2016-05-19,1 BBL,N.A.,N.A.,2416,2201,131,100 BBL
2016,February,2016-02-03,FUTCOM,CRUDEOIL,2016-06-20,1 BBL,N.A.,N.A.,2535,2201,159,100 BBL
2016,February,2016-02-03,FUTCOM,CRUDEOIL,2016-07-19,1 BBL,N.A.,N.A.,2632,2201,21,100 BBL
2016,February,2016-02-03,FUTCOM,NATURALGAS,2016-02-24,1 mmBtu,N.A.,N.A.,137.9,139,53933,1250 mmBtu
2016,February,2016-02-03,FUTCOM,NATURALGAS,2016-03-28,1 mmBtu,N.A.,N.A.,146.8,139,3096,1250 mmBtu
2016,February,2016-02-03,FUTCOM,NATURALGAS,2016-04-26,1 mmBtu,N.A.,N.A.,151.2,139,65,1250 mmBtu
2016,February,2016-02-04,FUTCOM,COTTON,2016-02-29,1 BALES,N.A.,N.A.,16500,16270,1805,25 BALES
2016,February,2016-02-04,FUTCOM,COTTON,2016-03-31,1 BALES,N.A.,N.A.,16650,16270,1080,25 BALES
2016,February,2016-02-04,FUTCOM,COTTON,2016-04-29,1 BALES,N.A.,N.A.,16750,16270,208,25 BALES
2016,February,2016-02-04,FUTCOM,COTTON,2016-05-31,1 BALES,N.A.,N.A.,-,16270,-,25 BALES
2016,February,2016-02-04,FUTCOM,CRUDEOIL,2016-02-19,1 BBL,N.A.,N.A.,2187,2151,345539,100 BBL
2016,February,2016-02-04,FUTCOM,CRUDEOIL,2016-03-18,1 BBL,N.A.,N.A.,2291,2151,15244,100 BBL
2016,February,2016-02-04,FUTCOM,CRUDEOIL,2016-04-19,1 BBL,N.A.,N.A.,2411,2151,511,100 BBL
2016,February,2016-02-04,FUTCOM,CRUDEOIL,2016-05-19,1 BBL,N.A.,N.A.,2556,2151,53,100 BBL
2016,February,2016-02-04,FUTCOM,CRUDEOIL,2016-06-20,1 BBL,N.A.,N.A.,2645,2151,21,100 BBL
2016,February,2016-02-04,FUTCOM,CRUDEOIL,2016-07-19,1 BBL,N.A.,N.A.,2726,2151,17,100 BBL
2016,February,2016-02-04,FUTCOM,NATURALGAS,2016-02-24,1 mmBtu,N.A.,N.A.,138.8,133.7,58289,1250 mmBtu
2016,February,2016-02-04,FUTCOM,NATURALGAS,2016-03-28,1 mmBtu,N.A.,N.A.,144.4,133.7,3266,1250 mmBtu
2016,February,2016-02-04,FUTCOM,NATURALGAS,2016-04-26,1 mmBtu,N.A.,N.A.,149.3,133.7,66,1250 mmBtu
2016,February,2016-02-05,FUTCOM,COTTON,2016-02-29,1 BALES,N.A.,N.A.,16450,16200,3103,25 BALES
2016,February,2016-02-05,FUTCOM,COTTON,2016-03-31,1 BALES,N.A.,N.A.,16530,16200,1744,25 BALES
2016,February,2016-02-05,FUTCOM,COTTON,2016-04-29,1 BALES,N.A.,N.A.,16660,16200,665,25 BALES
2016,February,2016-02-05,FUTCOM,COTTON,2016-05-31,1 BALES,N.A.,N.A.,16750,16200,9,25 BALES
2016,February,2016-02-05,FUTCOM,COTTON,2016-06-30,1 BALES,N.A.,N.A.,17000,16200,5,25 BALES
2016,February,2016-02-05,FUTCOM,CRUDEOIL,2016-02-19,1 BBL,N.A.,N.A.,2163,2089,316666,100 BBL
2016,February,2016-02-05,FUTCOM,CRUDEOIL,2016-03-18,1 BBL,N.A.,N.A.,2285,2089,13729,100 BBL
2016,February,2016-02-05,FUTCOM,CRUDEOIL,2016-04-19,1 BBL,N.A.,N.A.,2400,2089,369,100 BBL
2016,February,2016-02-05,FUTCOM,CRUDEOIL,2016-05-19,1 BBL,N.A.,N.A.,2509,2089,84,100 BBL
2016,February,2016-02-05,FUTCOM,CRUDEOIL,2016-06-20,1 BBL,N.A.,N.A.,2600,2089,14,100 BBL
2016,February,2016-02-05,FUTCOM,CRUDEOIL,2016-07-19,1 BBL,N.A.,N.A.,2675,2089,17,100 BBL
2016,February,2016-02-05,FUTCOM,NATURALGAS,2016-02-24,1 mmBtu,N.A.,N.A.,135,139.5,63558,1250 mmBtu
2016,February,2016-02-05,FUTCOM,NATURALGAS,2016-03-28,1 mmBtu,N.A.,N.A.,141,139.5,2638,1250 mmBtu
2016,February,2016-02-05,FUTCOM,NATURALGAS,2016-04-26,1 mmBtu,N.A.,N.A.,147.5,139.5,44,1250 mmBtu
2016,February,2016-02-08,FUTCOM,COTTON,2016-02-29,1 BALES,N.A.,N.A.,16270,16170,2626,25 BALES
2016,February,2016-02-08,FUTCOM,COTTON,2016-03-31,1 BALES,N.A.,N.A.,16430,16170,1361,25 BALES
2016,February,2016-02-08,FUTCOM,COTTON,2016-04-29,1 BALES,N.A.,N.A.,16550,16170,446,25 BALES
2016,February,2016-02-08,FUTCOM,COTTON,2016-05-31,1 BALES,N.A.,N.A.,16700,16170,7,25 BALES
2016,February,2016-02-08,FUTCOM,COTTON,2016-06-30,1 BALES,N.A.,N.A.,-,16170,-,25 BALES
2016,February,2016-02-08,FUTCOM,CRUDEOIL,2016-02-19,1 BBL,N.A.,N.A.,2139,2014,300348,100 BBL
2016,February,2016-02-08,FUTCOM,CRUDEOIL,2016-03-18,1 BBL,N.A.,N.A.,2275,2014,16359,100 BBL
