Year,Month,Date,Equity Type,Commodity Name,Expiry,Price Unit,C/P Option,Strike Price,Open Price,Spot Price,Trading Volume Lots,Lot Size Units
2022,January,2022-01-03,FUTCOM,COTTON,2022-01-31,1 BALES,N.A.,N.A.,34300,34280,3212,25 BALES
2022,January,2022-01-03,FUTCOM,COTTON,2022-02-28,1 BALES,N.A.,N.A.,34550,34280,631,25 BALES
2022,January,2022-01-03,FUTCOM,CRUDEOIL,2022-01-19,1 BBL,N.A.,N.A.,5638,5654,70088,100 BBL
2022,January,2022-01-03,FUTCOM,CRUDEOIL,2022-02-18,1 BBL,N.A.,N.A.,5626,5654,3073,100 BBL
2022,January,2022-01-03,FUTCOM,CRUDEOIL,2022-03-21,1 BBL,N.A.,N.A.,-,5654,-,100 BBL
2022,January,2022-01-03,OPTFUT,CRUDEOIL,2022-01-17,1 BBL,CE,4500,-,-,-,100 BBL
2022,January,2022-01-03,OPTFUT,CRUDEOIL,2022-01-17,1 BBL,CE,4800,-,-,-,100 BBL
2022,January,2022-01-03,OPTFUT,CRUDEOIL,2022-01-17,1 BBL,CE,4900,-,-,-,100 BBL
2022,January,2022-01-03,OPTFUT,CRUDEOIL,2022-01-17,1 BBL,CE,5000,682,-,17,100 BBL
2022,January,2022-01-03,OPTFUT,CRUDEOIL,2022-01-17,1 BBL,CE,5100,581,-,11,100 BBL
2022,January,2022-01-03,OPTFUT,CRUDEOIL,2022-01-17,1 BBL,CE,5150,-,-,-,100 BBL
2022,January,2022-01-03,OPTFUT,CRUDEOIL,2022-01-17,1 BBL,CE,5200,495.7,-,43,100 BBL
2022,January,2022-01-03,OPTFUT,CRUDEOIL,2022-01-17,1 BBL,CE,5300,417.7,-,55,100 BBL
2022,January,2022-01-03,OPTFUT,CRUDEOIL,2022-01-17,1 BBL,CE,5350,-,-,-,100 BBL
2022,January,2022-01-03,OPTFUT,CRUDEOIL,2022-01-17,1 BBL,CE,5400,333.5,-,395,100 BBL
2022,January,2022-01-03,OPTFUT,CRUDEOIL,2022-01-17,1 BBL,CE,5450,274.1,-,2,100 BBL
