Year,Month,Date,Equity Type,Commodity Name,Expiry,Price Unit,C/P Option,Strike Price,Open Price,Spot Price,Trading Volume Lots,Lot Size Units
2019,Jun,2019-06-03,FUTCOM,COTTON,2019-06-28,1 BALES,N.A.,N.A.,21810,22140,3007,25 BALES
2019,Jun,2019-06-03,FUTCOM,COTTON,2019-07-31,1 BALES,N.A.,N.A.,21850,22140,935,25 BALES
2019,Jun,2019-06-03,FUTCOM,COTTON,2019-08-30,1 BALES,N.A.,N.A.,21830,22140,167,25 BALES
2019,Jun,2019-06-03,FUTCOM,COTTON,2019-10-31,1 BALES,N.A.,N.A.,-,22140,-,25 BALES
2019,Jun,2019-06-03,FUTCOM,COTTON,2019-11-29,1 BALES,N.A.,N.A.,-,22140,-,25 BALES
2019,Jun,2019-06-03,FUTCOM,COTTON,2019-12-31,1 BALES,N.A.,N.A.,-,22140,-,25 BALES
2019,Jun,2019-06-03,OPTFUT,CRUDEOIL,2019-06-17,1 BBL,CE,3500,239.7,-,84,100 BBL
2019,Jun,2019-06-03,OPTFUT,CRUDEOIL,2019-06-17,1 BBL,CE,3600,176.2,-,113,100 BBL
2019,Jun,2019-06-03,OPTFUT,CRUDEOIL,2019-06-17,1 BBL,CE,3650,200,-,2,100 BBL
2019,Jun,2019-06-03,OPTFUT,CRUDEOIL,2019-06-17,1 BBL,CE,3700,124,-,710,100 BBL
2019,Jun,2019-06-03,OPTFUT,CRUDEOIL,2019-06-17,1 BBL,CE,3800,100,-,1796,100 BBL
2019,Jun,2019-06-03,OPTFUT,CRUDEOIL,2019-06-17,1 BBL,CE,3850,70,-,7,100 BBL
2019,Jun,2019-06-03,OPTFUT,CRUDEOIL,2019-06-17,1 BBL,CE,3900,56.7,-,940,100 BBL
2019,Jun,2019-06-03,OPTFUT,CRUDEOIL,2019-06-17,1 BBL,CE,4000,50,-,1658,100 BBL
2019,Jun,2019-06-03,OPTFUT,CRUDEOIL,2019-06-17,1 BBL,CE,4100,24.1,-,918,100 BBL
2019,Jun,2019-06-03,OPTFUT,CRUDEOIL,2019-06-17,1 BBL,CE,4200,20,-,636,100 BBL
2019,Jun,2019-06-03,OPTFUT,CRUDEOIL,2019-06-17,1 BBL,CE,4300,10.1,-,471,100 BBL
2019,Jun,2019-06-03,OPTFUT,CRUDEOIL,2019-06-17,1 BBL,CE,4350,-,-,-,100 BBL
2019,Jun,2019-06-03,OPTFUT,CRUDEOIL,2019-06-17,1 BBL,CE,4400,9.6,-,460,100 BBL
2019,Jun,2019-06-03,OPTFUT,CRUDEOIL,2019-06-17,1 BBL,CE,4450,-,-,-,100 BBL
