Year,Month,Date,Equity Type,Commodity Name,Expiry,Price Unit,C/P Option,Strike Price,Open Price,Spot Price,Trading Volume Lots,Lot Size Units
2022,June,2022-06-01,FUTCOM,COTTON,2022-06-30,1 BALES,N.A.,N.A.,45780,47650,1076,25 BALES
2022,June,2022-06-01,FUTCOM,COTTON,2022-07-29,1 BALES,N.A.,N.A.,45350,47650,137,25 BALES
2022,June,2022-06-01,FUTCOM,COTTON,2022-10-31,1 BALES,N.A.,N.A.,38890,47650,1,25 BALES
2022,June,2022-06-01,FUTCOM,CRUDEOIL,2022-06-17,1 BBL,N.A.,N.A.,8933,8939,53035,100 BBL
2022,June,2022-06-01,FUTCOM,CRUDEOIL,2022-07-19,1 BBL,N.A.,N.A.,8744,8939,2433,100 BBL
2022,June,2022-06-01,FUTCOM,CRUDEOIL,2022-08-19,1 BBL,N.A.,N.A.,8559,8939,26,100 BBL
2022,June,2022-06-01,OPTFUT,CRUDEOIL,2022-06-15,1 BBL,CE,7500,1603.2,-,1,100 BBL
2022,June,2022-06-01,OPTFUT,CRUDEOIL,2022-06-15,1 BBL,CE,7700,-,-,-,100 BBL
2022,June,2022-06-01,OPTFUT,CRUDEOIL,2022-06-15,1 BBL,CE,7800,-,-,-,100 BBL
2022,June,2022-06-01,OPTFUT,CRUDEOIL,2022-06-15,1 BBL,CE,8000,1120.9,-,2,100 BBL
2022,June,2022-06-01,OPTFUT,CRUDEOIL,2022-06-15,1 BBL,CE,8100,1026.7,-,1,100 BBL
2022,June,2022-06-01,OPTFUT,CRUDEOIL,2022-06-15,1 BBL,CE,8200,-,-,-,100 BBL
2022,June,2022-06-01,OPTFUT,CRUDEOIL,2022-06-15,1 BBL,CE,8300,873.4,-,5,100 BBL
2022,June,2022-06-01,OPTFUT,CRUDEOIL,2022-06-15,1 BBL,CE,8400,714.9,-,12,100 BBL
2022,June,2022-06-01,OPTFUT,CRUDEOIL,2022-06-15,1 BBL,CE,8500,636.7,-,119,100 BBL
2022,June,2022-06-01,OPTFUT,CRUDEOIL,2022-06-15,1 BBL,CE,8550,-,-,-,100 BBL
2022,June,2022-06-01,OPTFUT,CRUDEOIL,2022-06-15,1 BBL,CE,8600,590,-,103,100 BBL
2022,June,2022-06-01,OPTFUT,CRUDEOIL,2022-06-15,1 BBL,CE,8650,-,-,-,100 BBL
2022,June,2022-06-01,OPTFUT,CRUDEOIL,2022-06-15,1 BBL,CE,8700,453,-,50,100 BBL
2022,June,2022-06-01,OPTFUT,CRUDEOIL,2022-06-15,1 BBL,CE,8800,457.9,-,902,100 BBL
2022,June,2022-06-01,OPTFUT,CRUDEOIL,2022-06-15,1 BBL,CE,8850,-,-,-,100 BBL
2022,June,2022-06-01,OPTFUT,CRUDEOIL,2022-06-15,1 BBL,CE,8900,398,-,2334,100 BBL
2022,June,2022-06-01,OPTFUT,CRUDEOIL,2022-06-15,1 BBL,CE,9000,371,-,16344,100 BBL
