Year,Month,Date,Equity Type,Commodity Name,Expiry,Price Unit,C/P Option,Strike Price,Open Price,Spot Price,Trading Volume Lots,Lot Size Units
2016,March,2016-03-01,FUTCOM,COTTON,2016-03-31,1 BALES,N.A.,N.A.,16060,16070,2340,25 BALES
2016,March,2016-03-01,FUTCOM,COTTON,2016-04-29,1 BALES,N.A.,N.A.,16220,16070,1061,25 BALES
2016,March,2016-03-01,FUTCOM,COTTON,2016-05-31,1 BALES,N.A.,N.A.,16390,16070,170,25 BALES
2016,March,2016-03-01,FUTCOM,COTTON,2016-06-30,1 BALES,N.A.,N.A.,16400,16070,20,25 BALES
2016,March,2016-03-01,FUTCOM,CRUDEOIL,2016-03-18,1 BBL,N.A.,N.A.,2327,2345,279308,100 BBL
2016,March,2016-03-01,FUTCOM,CRUDEOIL,2016-04-19,1 BBL,N.A.,N.A.,2463,2345,11822,100 BBL
2016,March,2016-03-01,FUTCOM,CRUDEOIL,2016-05-19,1 BBL,N.A.,N.A.,2561,2345,226,100 BBL
2016,March,2016-03-01,FUTCOM,CRUDEOIL,2016-06-20,1 BBL,N.A.,N.A.,2644,2345,27,100 BBL
2016,March,2016-03-01,FUTCOM,CRUDEOIL,2016-07-19,1 BBL,N.A.,N.A.,2752,2345,19,100 BBL
2016,March,2016-03-01,FUTCOM,CRUDEOIL,2016-08-19,1 BBL,N.A.,N.A.,2817,2345,16,100 BBL
2016,March,2016-03-01,FUTCOM,NATURALGAS,2016-03-28,1 mmBtu,N.A.,N.A.,118.2,118.7,66626,1250 mmBtu
2016,March,2016-03-01,FUTCOM,NATURALGAS,2016-04-26,1 mmBtu,N.A.,N.A.,124.6,118.7,2301,1250 mmBtu
2016,March,2016-03-01,FUTCOM,NATURALGAS,2016-05-25,1 mmBtu,N.A.,N.A.,131.3,118.7,137,1250 mmBtu
2016,March,2016-03-02,FUTCOM,COTTON,2016-03-31,1 BALES,N.A.,N.A.,15940,15990,2200,25 BALES
2016,March,2016-03-02,FUTCOM,COTTON,2016-04-29,1 BALES,N.A.,N.A.,16080,15990,1045,25 BALES
2016,March,2016-03-02,FUTCOM,COTTON,2016-05-31,1 BALES,N.A.,N.A.,16180,15990,242,25 BALES
2016,March,2016-03-02,FUTCOM,COTTON,2016-06-30,1 BALES,N.A.,N.A.,-,15990,-,25 BALES
2016,March,2016-03-02,FUTCOM,CRUDEOIL,2016-03-18,1 BBL,N.A.,N.A.,2321,2347,299198,100 BBL
2016,March,2016-03-02,FUTCOM,CRUDEOIL,2016-04-19,1 BBL,N.A.,N.A.,2450,2347,11621,100 BBL
2016,March,2016-03-02,FUTCOM,CRUDEOIL,2016-05-19,1 BBL,N.A.,N.A.,2544,2347,324,100 BBL
2016,March,2016-03-02,FUTCOM,CRUDEOIL,2016-06-20,1 BBL,N.A.,N.A.,2628,2347,15,100 BBL
2016,March,2016-03-02,FUTCOM,CRUDEOIL,2016-07-19,1 BBL,N.A.,N.A.,2687,2347,15,100 BBL
2016,March,2016-03-02,FUTCOM,CRUDEOIL,2016-08-19,1 BBL,N.A.,N.A.,2767,2347,7,100 BBL
2016,March,2016-03-02,FUTCOM,NATURALGAS,2016-03-28,1 mmBtu,N.A.,N.A.,118.2,113.6,60558,1250 mmBtu
2016,March,2016-03-02,FUTCOM,NATURALGAS,2016-04-26,1 mmBtu,N.A.,N.A.,124.2,113.6,1646,1250 mmBtu
2016,March,2016-03-02,FUTCOM,NATURALGAS,2016-05-25,1 mmBtu,N.A.,N.A.,131.6,113.6,92,1250 mmBtu
