Year,Month,Date,Equity Type,Commodity Name,Expiry,Price Unit,C/P Option,Strike Price,Open Price,Spot Price,Trading Volume Lots,Lot Size Units
2018,May,2018-05-01,FUTCOM,COTTON,2018-05-31,1 BALES,N.A.,N.A.,20510,-,384,25 BALES
2018,May,2018-05-01,FUTCOM,COTTON,2018-06-29,1 BALES,N.A.,N.A.,20940,-,155,25 BALES
2018,May,2018-05-01,FUTCOM,COTTON,2018-07-31,1 BALES,N.A.,N.A.,-,-,-,25 BALES
2018,May,2018-05-01,FUTCOM,CRUDEOIL,2018-05-21,1 BBL,N.A.,N.A.,4566,4491,83948,100 BBL
2018,May,2018-05-01,FUTCOM,CRUDEOIL,2018-06-19,1 BBL,N.A.,N.A.,4542,4491,2194,100 BBL
2018,May,2018-05-01,FUTCOM,CRUDEOIL,2018-07-19,1 BBL,N.A.,N.A.,4528,4491,12,100 BBL
2018,May,2018-05-01,FUTCOM,CRUDEOIL,2018-08-20,1 BBL,N.A.,N.A.,4510,4491,1,100 BBL
2018,May,2018-05-01,FUTCOM,CRUDEOIL,2018-09-19,1 BBL,N.A.,N.A.,4500,4491,1,100 BBL
2018,May,2018-05-01,FUTCOM,NATURALGAS,2018-05-25,1 mmBtu,N.A.,N.A.,185,187.1,24434,1250 mmBtu
2018,May,2018-05-01,FUTCOM,NATURALGAS,2018-06-26,1 mmBtu,N.A.,N.A.,189.8,187.1,686,1250 mmBtu
2018,May,2018-05-01,FUTCOM,NATURALGAS,2018-07-26,1 mmBtu,N.A.,N.A.,191,187.1,21,1250 mmBtu
2018,May,2018-05-02,FUTCOM,COTTON,2018-05-31,1 BALES,N.A.,N.A.,20810,20030,1291,25 BALES
2018,May,2018-05-02,FUTCOM,COTTON,2018-06-29,1 BALES,N.A.,N.A.,21050,20030,426,25 BALES
2018,May,2018-05-02,FUTCOM,COTTON,2018-07-31,1 BALES,N.A.,N.A.,21220,20030,87,25 BALES
2018,May,2018-05-02,FUTCOM,COTTON,2018-11-30,1 BALES,N.A.,N.A.,20500,20030,10,25 BALES
2018,May,2018-05-02,FUTCOM,COTTON,2018-12-31,1 BALES,N.A.,N.A.,20440,20030,12,25 BALES
2018,May,2018-05-02,FUTCOM,CRUDEOIL,2018-05-21,1 BBL,N.A.,N.A.,4510,4528,143776,100 BBL
2018,May,2018-05-02,FUTCOM,CRUDEOIL,2018-06-19,1 BBL,N.A.,N.A.,4520,4528,2775,100 BBL
2018,May,2018-05-02,FUTCOM,CRUDEOIL,2018-07-19,1 BBL,N.A.,N.A.,4522,4528,4,100 BBL
2018,May,2018-05-02,FUTCOM,CRUDEOIL,2018-08-20,1 BBL,N.A.,N.A.,4510,4528,1,100 BBL
2018,May,2018-05-02,FUTCOM,CRUDEOIL,2018-09-19,1 BBL,N.A.,N.A.,4497,4528,2,100 BBL
2018,May,2018-05-02,FUTCOM,NATURALGAS,2018-05-25,1 mmBtu,N.A.,N.A.,187.6,183.6,26784,1250 mmBtu
2018,May,2018-05-02,FUTCOM,NATURALGAS,2018-06-26,1 mmBtu,N.A.,N.A.,190.8,183.6,1036,1250 mmBtu
2018,May,2018-05-02,FUTCOM,NATURALGAS,2018-07-26,1 mmBtu,N.A.,N.A.,192.1,183.6,16,1250 mmBtu
2018,May,2018-05-03,FUTCOM,COTTON,2018-05-31,1 BALES,N.A.,N.A.,20870,20100,1108,25 BALES
2018,May,2018-05-03,FUTCOM,COTTON,2018-06-29,1 BALES,N.A.,N.A.,21100,20100,401,25 BALES
2018,May,2018-05-03,FUTCOM,COTTON,2018-07-31,1 BALES,N.A.,N.A.,21350,20100,172,25 BALES
2018,May,2018-05-03,FUTCOM,COTTON,2018-11-30,1 BALES,N.A.,N.A.,20290,20100,2,25 BALES
2018,May,2018-05-03,FUTCOM,COTTON,2018-12-31,1 BALES,N.A.,N.A.,-,20100,-,25 BALES
2018,May,2018-05-03,FUTCOM,CRUDEOIL,2018-05-21,1 BBL,N.A.,N.A.,4516,4558,132646,100 BBL
2018,May,2018-05-03,FUTCOM,CRUDEOIL,2018-06-19,1 BBL,N.A.,N.A.,4524,4558,2940,100 BBL
2018,May,2018-05-03,FUTCOM,CRUDEOIL,2018-07-19,1 BBL,N.A.,N.A.,4510,4558,5,100 BBL
2018,May,2018-05-03,FUTCOM,CRUDEOIL,2018-08-20,1 BBL,N.A.,N.A.,4499,4558,2,100 BBL
2018,May,2018-05-03,FUTCOM,CRUDEOIL,2018-09-19,1 BBL,N.A.,N.A.,-,4558,-,100 BBL
2018,May,2018-05-03,FUTCOM,NATURALGAS,2018-05-25,1 mmBtu,N.A.,N.A.,184.2,181.6,32549,1250 mmBtu
2018,May,2018-05-03,FUTCOM,NATURALGAS,2018-06-26,1 mmBtu,N.A.,N.A.,187.8,181.6,1277,1250 mmBtu
2018,May,2018-05-03,FUTCOM,NATURALGAS,2018-07-26,1 mmBtu,N.A.,N.A.,189.7,181.6,14,1250 mmBtu
2018,May,2018-05-04,FUTCOM,COTTON,2018-05-31,1 BALES,N.A.,N.A.,20780,20130,537,25 BALES
2018,May,2018-05-04,FUTCOM,COTTON,2018-06-29,1 BALES,N.A.,N.A.,21050,20130,105,25 BALES
2018,May,2018-05-04,FUTCOM,COTTON,2018-07-31,1 BALES,N.A.,N.A.,-,20130,-,25 BALES
2018,May,2018-05-04,FUTCOM,COTTON,2018-11-30,1 BALES,N.A.,N.A.,20500,20130,25,25 BALES
2018,May,2018-05-04,FUTCOM,COTTON,2018-12-31,1 BALES,N.A.,N.A.,-,20130,-,25 BALES
2018,May,2018-05-04,FUTCOM,CRUDEOIL,2018-05-21,1 BBL,N.A.,N.A.,4564,4655,140191,100 BBL
2018,May,2018-05-04,FUTCOM,CRUDEOIL,2018-06-19,1 BBL,N.A.,N.A.,4562,4655,4032,100 BBL
2018,May,2018-05-04,FUTCOM,CRUDEOIL,2018-07-19,1 BBL,N.A.,N.A.,4553,4655,45,100 BBL
2018,May,2018-05-04,FUTCOM,CRUDEOIL,2018-08-20,1 BBL,N.A.,N.A.,4543,4655,7,100 BBL
2018,May,2018-05-04,FUTCOM,CRUDEOIL,2018-09-19,1 BBL,N.A.,N.A.,4535,4655,3,100 BBL
2018,May,2018-05-04,FUTCOM,NATURALGAS,2018-05-25,1 mmBtu,N.A.,N.A.,182.5,181,22900,1250 mmBtu
2018,May,2018-05-04,FUTCOM,NATURALGAS,2018-06-26,1 mmBtu,N.A.,N.A.,186.2,181,812,1250 mmBtu
2018,May,2018-05-04,FUTCOM,NATURALGAS,2018-07-26,1 mmBtu,N.A.,N.A.,188.1,181,30,1250 mmBtu
2018,May,2018-05-07,FUTCOM,COTTON,2018-05-31,1 BALES,N.A.,N.A.,20900,20270,1442,25 BALES
2018,May,2018-05-07,FUTCOM,COTTON,2018-06-29,1 BALES,N.A.,N.A.,21240,20270,263,25 BALES
2018,May,2018-05-07,FUTCOM,COTTON,2018-07-31,1 BALES,N.A.,N.A.,21540,20270,69,25 BALES
2018,May,2018-05-07,FUTCOM,COTTON,2018-11-30,1 BALES,N.A.,N.A.,20620,20270,19,25 BALES
2018,May,2018-05-07,FUTCOM,COTTON,2018-12-31,1 BALES,N.A.,N.A.,-,20270,-,25 BALES
2018,May,2018-05-07,FUTCOM,CRUDEOIL,2018-05-21,1 BBL,N.A.,N.A.,4680,4746,104631,100 BBL
2018,May,2018-05-07,FUTCOM,CRUDEOIL,2018-06-19,1 BBL,N.A.,N.A.,4707,4746,3351,100 BBL
2018,May,2018-05-07,FUTCOM,CRUDEOIL,2018-07-19,1 BBL,N.A.,N.A.,4719,4746,69,100 BBL
2018,May,2018-05-07,FUTCOM,CRUDEOIL,2018-08-20,1 BBL,N.A.,N.A.,4710,4746,10,100 BBL
2018,May,2018-05-07,FUTCOM,CRUDEOIL,2018-09-19,1 BBL,N.A.,N.A.,4694,4746,15,100 BBL
2018,May,2018-05-07,FUTCOM,NATURALGAS,2018-05-25,1 mmBtu,N.A.,N.A.,183.5,183.9,30305,1250 mmBtu
2018,May,2018-05-07,FUTCOM,NATURALGAS,2018-06-26,1 mmBtu,N.A.,N.A.,186.4,183.9,1570,1250 mmBtu
2018,May,2018-05-07,FUTCOM,NATURALGAS,2018-07-26,1 mmBtu,N.A.,N.A.,187.9,183.9,23,1250 mmBtu
2018,May,2018-05-08,FUTCOM,COTTON,2018-05-31,1 BALES,N.A.,N.A.,20900,20220,968,25 BALES
2018,May,2018-05-08,FUTCOM,COTTON,2018-06-29,1 BALES,N.A.,N.A.,21160,20220,267,25 BALES
2018,May,2018-05-08,FUTCOM,COTTON,2018-07-31,1 BALES,N.A.,N.A.,21410,20220,37,25 BALES
2018,May,2018-05-08,FUTCOM,COTTON,2018-11-30,1 BALES,N.A.,N.A.,20830,20220,51,25 BALES
2018,May,2018-05-08,FUTCOM,COTTON,2018-12-31,1 BALES,N.A.,N.A.,-,20220,-,25 BALES
2018,May,2018-05-08,FUTCOM,CRUDEOIL,2018-05-21,1 BBL,N.A.,N.A.,4732,4633,195019,100 BBL
2018,May,2018-05-08,FUTCOM,CRUDEOIL,2018-06-19,1 BBL,N.A.,N.A.,4745,4633,5627,100 BBL
2018,May,2018-05-08,FUTCOM,CRUDEOIL,2018-07-19,1 BBL,N.A.,N.A.,4705,4633,78,100 BBL
2018,May,2018-05-08,FUTCOM,CRUDEOIL,2018-08-20,1 BBL,N.A.,N.A.,4700,4633,5,100 BBL
2018,May,2018-05-08,FUTCOM,CRUDEOIL,2018-09-19,1 BBL,N.A.,N.A.,-,4633,-,100 BBL
2018,May,2018-05-08,FUTCOM,NATURALGAS,2018-05-25,1 mmBtu,N.A.,N.A.,184.6,183.3,31087,1250 mmBtu
2018,May,2018-05-08,FUTCOM,NATURALGAS,2018-06-26,1 mmBtu,N.A.,N.A.,187.3,183.3,1747,1250 mmBtu
2018,May,2018-05-08,FUTCOM,NATURALGAS,2018-07-26,1 mmBtu,N.A.,N.A.,190.3,183.3,18,1250 mmBtu
2018,May,2018-05-09,FUTCOM,COTTON,2018-05-31,1 BALES,N.A.,N.A.,20750,20110,597,25 BALES
2018,May,2018-05-09,FUTCOM,COTTON,2018-06-29,1 BALES,N.A.,N.A.,21040,20110,119,25 BALES
2018,May,2018-05-09,FUTCOM,COTTON,2018-07-31,1 BALES,N.A.,N.A.,21360,20110,8,25 BALES
2018,May,2018-05-09,FUTCOM,COTTON,2018-11-30,1 BALES,N.A.,N.A.,-,20110,-,25 BALES
2018,May,2018-05-09,FUTCOM,COTTON,2018-12-31,1 BALES,N.A.,N.A.,20800,20110,13,25 BALES
2018,May,2018-05-09,FUTCOM,CRUDEOIL,2018-05-21,1 BBL,N.A.,N.A.,4655,4794,134558,100 BBL
2018,May,2018-05-09,FUTCOM,CRUDEOIL,2018-06-19,1 BBL,N.A.,N.A.,4642,4794,5667,100 BBL
2018,May,2018-05-09,FUTCOM,CRUDEOIL,2018-07-19,1 BBL,N.A.,N.A.,4700,4794,115,100 BBL
2018,May,2018-05-09,FUTCOM,CRUDEOIL,2018-08-20,1 BBL,N.A.,N.A.,4754,4794,5,100 BBL
2018,May,2018-05-09,FUTCOM,CRUDEOIL,2018-09-19,1 BBL,N.A.,N.A.,4798,4794,5,100 BBL
2018,May,2018-05-09,FUTCOM,NATURALGAS,2018-05-25,1 mmBtu,N.A.,N.A.,184.5,184.4,23421,1250 mmBtu
2018,May,2018-05-09,FUTCOM,NATURALGAS,2018-06-26,1 mmBtu,N.A.,N.A.,187.7,184.4,1129,1250 mmBtu
2018,May,2018-05-09,FUTCOM,NATURALGAS,2018-07-26,1 mmBtu,N.A.,N.A.,189.5,184.4,26,1250 mmBtu
2018,May,2018-05-10,FUTCOM,COTTON,2018-05-31,1 BALES,N.A.,N.A.,20790,20160,1434,25 BALES
2018,May,2018-05-10,FUTCOM,COTTON,2018-06-29,1 BALES,N.A.,N.A.,21080,20160,401,25 BALES
2018,May,2018-05-10,FUTCOM,COTTON,2018-07-31,1 BALES,N.A.,N.A.,21350,20160,29,25 BALES
2018,May,2018-05-10,FUTCOM,COTTON,2018-11-30,1 BALES,N.A.,N.A.,20930,20160,3,25 BALES
2018,May,2018-05-10,FUTCOM,COTTON,2018-12-31,1 BALES,N.A.,N.A.,20900,20160,11,25 BALES
2018,May,2018-05-10,FUTCOM,CRUDEOIL,2018-05-21,1 BBL,N.A.,N.A.,4825,4808,116672,100 BBL
2018,May,2018-05-10,FUTCOM,CRUDEOIL,2018-06-19,1 BBL,N.A.,N.A.,4841,4808,4065,100 BBL
2018,May,2018-05-10,FUTCOM,CRUDEOIL,2018-07-19,1 BBL,N.A.,N.A.,4838,4808,45,100 BBL
2018,May,2018-05-10,FUTCOM,CRUDEOIL,2018-08-20,1 BBL,N.A.,N.A.,4830,4808,11,100 BBL
2018,May,2018-05-10,FUTCOM,CRUDEOIL,2018-09-19,1 BBL,N.A.,N.A.,4808,4808,12,100 BBL
2018,May,2018-05-10,FUTCOM,CRUDEOIL,2018-10-19,1 BBL,N.A.,N.A.,4797,4808,1,100 BBL
2018,May,2018-05-10,FUTCOM,NATURALGAS,2018-05-25,1 mmBtu,N.A.,N.A.,184.9,189.6,46401,1250 mmBtu
2018,May,2018-05-10,FUTCOM,NATURALGAS,2018-06-26,1 mmBtu,N.A.,N.A.,187.1,189.6,2106,1250 mmBtu
2018,May,2018-05-10,FUTCOM,NATURALGAS,2018-07-26,1 mmBtu,N.A.,N.A.,189,189.6,68,1250 mmBtu
2018,May,2018-05-11,FUTCOM,COTTON,2018-05-31,1 BALES,N.A.,N.A.,20660,20110,1123,25 BALES
2018,May,2018-05-11,FUTCOM,COTTON,2018-06-29,1 BALES,N.A.,N.A.,20990,20110,566,25 BALES
2018,May,2018-05-11,FUTCOM,COTTON,2018-07-31,1 BALES,N.A.,N.A.,21200,20110,276,25 BALES
2018,May,2018-05-11,FUTCOM,COTTON,2018-10-31,1 BALES,N.A.,N.A.,20900,20110,119,25 BALES
2018,May,2018-05-11,FUTCOM,COTTON,2018-11-30,1 BALES,N.A.,N.A.,20800,20110,83,25 BALES
2018,May,2018-05-11,FUTCOM,COTTON,2018-12-31,1 BALES,N.A.,N.A.,-,20110,-,25 BALES
2018,May,2018-05-11,FUTCOM,CRUDEOIL,2018-05-21,1 BBL,N.A.,N.A.,4786,4752,97433,100 BBL
2018,May,2018-05-11,FUTCOM,CRUDEOIL,2018-06-19,1 BBL,N.A.,N.A.,4798,4752,3125,100 BBL
2018,May,2018-05-11,FUTCOM,CRUDEOIL,2018-07-19,1 BBL,N.A.,N.A.,4792,4752,42,100 BBL
2018,May,2018-05-11,FUTCOM,CRUDEOIL,2018-08-20,1 BBL,N.A.,N.A.,4795,4752,6,100 BBL
