Year,Month,Date,Equity Type,Commodity Name,Expiry,Price Unit,C/P Option,Strike Price,Open Price,Spot Price,Trading Volume Lots,Lot Size Units
2022,November,2022-11-01,FUTCOM,COTTON,2022-11-30,1 BALES,N.A.,N.A.,28500,30970,640,25 BALES
2022,November,2022-11-01,FUTCOM,COTTON,2022-12-30,1 BALES,N.A.,N.A.,27800,30970,305,25 BALES
2022,November,2022-11-01,FUTCOM,CRUDEOIL,2022-11-18,1 BBL,N.A.,N.A.,7150,7309,40678,100 BBL
2022,November,2022-11-01,FUTCOM,CRUDEOIL,2022-12-19,1 BBL,N.A.,N.A.,7161,7309,1507,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,CE,6000,-,-,-,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,CE,6500,795,-,182,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,CE,6600,700,-,14,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,CE,6700,600,-,26,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,CE,6800,539.3,-,220,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,CE,6900,466,-,120,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,CE,6950,-,-,-,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,CE,7000,399,-,2260,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,CE,7050,-,-,-,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,CE,7100,339,-,2874,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,CE,7150,318.7,-,4,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,CE,7200,299,-,17378,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,CE,7250,302.4,-,4,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,CE,7300,249,-,28535,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,CE,7350,285,-,15,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,CE,7400,208,-,18748,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,CE,7500,176.3,-,34477,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,CE,7600,145,-,9314,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,CE,7700,115,-,6080,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,CE,7800,96.6,-,5538,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,CE,7900,80,-,2216,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,CE,8000,67.5,-,12138,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,CE,8100,-,-,-,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,CE,8200,58.2,-,164,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,CE,8500,33.5,-,3092,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,CE,9000,17.7,-,1040,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,CE,9500,10.9,-,1336,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,PE,5000,10.4,-,325,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,PE,5500,14,-,503,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,PE,6000,29.1,-,2801,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,PE,6100,-,-,-,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,PE,6200,41.3,-,486,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,PE,6300,57,-,619,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,PE,6400,69.9,-,970,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,PE,6500,85,-,10506,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,PE,6600,91.8,-,2971,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,PE,6700,109,-,6832,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,PE,6800,113.1,-,7480,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,PE,6900,160.7,-,7929,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,PE,7000,198,-,26619,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,PE,7050,212,-,1,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,PE,7100,229.3,-,17942,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,PE,7150,-,-,-,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,PE,7200,290,-,29397,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,PE,7250,-,-,-,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,PE,7300,355.8,-,28716,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,PE,7350,-,-,-,100 BBL
2022,November,2022-11-01,OPTFUT,CRUDEOIL,2022-11-16,1 BBL,PE,7400,402.2,-,6389,100 BBL
