Year,Month,Date,Equity Type,Commodity Name,Expiry,Price Unit,C/P Option,Strike Price,Open Price,Spot Price,Trading Volume Lots,Lot Size Units
2017,October,2017-10-03,FUTCOM,COTTON,2017-10-31,1 BALES,N.A.,N.A.,18450,18650,692,25 BALES
2017,October,2017-10-03,FUTCOM,COTTON,2017-11-30,1 BALES,N.A.,N.A.,18280,18650,430,25 BALES
2017,October,2017-10-03,FUTCOM,COTTON,2017-12-29,1 BALES,N.A.,N.A.,18200,18650,693,25 BALES
2017,October,2017-10-03,FUTCOM,COTTON,2018-01-31,1 BALES,N.A.,N.A.,18250,18650,242,25 BALES
2017,October,2017-10-03,FUTCOM,CRUDEOIL,2017-10-18,1 BBL,N.A.,N.A.,3354,3305,131033,100 BBL
2017,October,2017-10-03,FUTCOM,CRUDEOIL,2017-11-17,1 BBL,N.A.,N.A.,3387,3305,2332,100 BBL
2017,October,2017-10-03,FUTCOM,CRUDEOIL,2017-12-18,1 BBL,N.A.,N.A.,3380,3305,11,100 BBL
2017,October,2017-10-03,FUTCOM,CRUDEOIL,2018-01-19,1 BBL,N.A.,N.A.,3388,3305,3,100 BBL
2017,October,2017-10-03,FUTCOM,CRUDEOIL,2018-02-16,1 BBL,N.A.,N.A.,3404,3305,4,100 BBL
2017,October,2017-10-03,FUTCOM,CRUDEOIL,2018-03-19,1 BBL,N.A.,N.A.,3433,3305,2,100 BBL
2017,October,2017-10-03,FUTCOM,NATURALGAS,2017-10-26,1 mmBtu,N.A.,N.A.,196.2,189.8,33809,1250 mmBtu
2017,October,2017-10-03,FUTCOM,NATURALGAS,2017-11-27,1 mmBtu,N.A.,N.A.,207.8,189.8,1452,1250 mmBtu
2017,October,2017-10-03,FUTCOM,NATURALGAS,2017-12-26,1 mmBtu,N.A.,N.A.,214,189.8,61,1250 mmBtu
2017,October,2017-10-04,FUTCOM,COTTON,2017-10-31,1 BALES,N.A.,N.A.,18520,18660,676,25 BALES
2017,October,2017-10-04,FUTCOM,COTTON,2017-11-30,1 BALES,N.A.,N.A.,18260,18660,265,25 BALES
2017,October,2017-10-04,FUTCOM,COTTON,2017-12-29,1 BALES,N.A.,N.A.,18160,18660,196,25 BALES
2017,October,2017-10-04,FUTCOM,COTTON,2018-01-31,1 BALES,N.A.,N.A.,18280,18660,20,25 BALES
2017,October,2017-10-04,FUTCOM,CRUDEOIL,2017-10-18,1 BBL,N.A.,N.A.,3287,3263,139222,100 BBL
2017,October,2017-10-04,FUTCOM,CRUDEOIL,2017-11-17,1 BBL,N.A.,N.A.,3313,3263,2860,100 BBL
2017,October,2017-10-04,FUTCOM,CRUDEOIL,2017-12-18,1 BBL,N.A.,N.A.,3343,3263,71,100 BBL
2017,October,2017-10-04,FUTCOM,CRUDEOIL,2018-01-19,1 BBL,N.A.,N.A.,3373,3263,8,100 BBL
2017,October,2017-10-04,FUTCOM,CRUDEOIL,2018-02-16,1 BBL,N.A.,N.A.,3385,3263,3,100 BBL
2017,October,2017-10-04,FUTCOM,CRUDEOIL,2018-03-19,1 BBL,N.A.,N.A.,3404,3263,2,100 BBL
2017,October,2017-10-04,FUTCOM,NATURALGAS,2017-10-26,1 mmBtu,N.A.,N.A.,191,192,37654,1250 mmBtu
2017,October,2017-10-04,FUTCOM,NATURALGAS,2017-11-27,1 mmBtu,N.A.,N.A.,204,192,1211,1250 mmBtu
2017,October,2017-10-04,FUTCOM,NATURALGAS,2017-12-26,1 mmBtu,N.A.,N.A.,212.7,192,32,1250 mmBtu
2017,October,2017-10-05,FUTCOM,COTTON,2017-10-31,1 BALES,N.A.,N.A.,18600,18760,1125,25 BALES
2017,October,2017-10-05,FUTCOM,COTTON,2017-11-30,1 BALES,N.A.,N.A.,18360,18760,454,25 BALES
2017,October,2017-10-05,FUTCOM,COTTON,2017-12-29,1 BALES,N.A.,N.A.,18250,18760,562,25 BALES
2017,October,2017-10-05,FUTCOM,COTTON,2018-01-31,1 BALES,N.A.,N.A.,18340,18760,271,25 BALES
2017,October,2017-10-05,FUTCOM,CRUDEOIL,2017-10-18,1 BBL,N.A.,N.A.,3260,3310,136372,100 BBL
2017,October,2017-10-05,FUTCOM,CRUDEOIL,2017-11-17,1 BBL,N.A.,N.A.,3292,3310,3573,100 BBL
2017,October,2017-10-05,FUTCOM,CRUDEOIL,2017-12-18,1 BBL,N.A.,N.A.,3324,3310,60,100 BBL
2017,October,2017-10-05,FUTCOM,CRUDEOIL,2018-01-19,1 BBL,N.A.,N.A.,3338,3310,14,100 BBL
2017,October,2017-10-05,FUTCOM,CRUDEOIL,2018-02-16,1 BBL,N.A.,N.A.,-,3310,-,100 BBL
2017,October,2017-10-05,FUTCOM,CRUDEOIL,2018-03-19,1 BBL,N.A.,N.A.,-,3310,-,100 BBL
2017,October,2017-10-05,FUTCOM,NATURALGAS,2017-10-26,1 mmBtu,N.A.,N.A.,192.5,190.5,46207,1250 mmBtu
2017,October,2017-10-05,FUTCOM,NATURALGAS,2017-11-27,1 mmBtu,N.A.,N.A.,204.7,190.5,1468,1250 mmBtu
2017,October,2017-10-05,FUTCOM,NATURALGAS,2017-12-26,1 mmBtu,N.A.,N.A.,213.4,190.5,56,1250 mmBtu
2017,October,2017-10-06,FUTCOM,COTTON,2017-10-31,1 BALES,N.A.,N.A.,18630,18720,592,25 BALES
2017,October,2017-10-06,FUTCOM,COTTON,2017-11-30,1 BALES,N.A.,N.A.,18320,18720,352,25 BALES
2017,October,2017-10-06,FUTCOM,COTTON,2017-12-29,1 BALES,N.A.,N.A.,18220,18720,333,25 BALES
2017,October,2017-10-06,FUTCOM,COTTON,2018-01-31,1 BALES,N.A.,N.A.,18280,18720,61,25 BALES
2017,October,2017-10-06,FUTCOM,CRUDEOIL,2017-10-18,1 BBL,N.A.,N.A.,3311,3215,147314,100 BBL
2017,October,2017-10-06,FUTCOM,CRUDEOIL,2017-11-17,1 BBL,N.A.,N.A.,3349,3215,3605,100 BBL
2017,October,2017-10-06,FUTCOM,CRUDEOIL,2017-12-18,1 BBL,N.A.,N.A.,3376,3215,112,100 BBL
2017,October,2017-10-06,FUTCOM,CRUDEOIL,2018-01-19,1 BBL,N.A.,N.A.,3371,3215,5,100 BBL
2017,October,2017-10-06,FUTCOM,CRUDEOIL,2018-02-16,1 BBL,N.A.,N.A.,3363,3215,3,100 BBL
2017,October,2017-10-06,FUTCOM,CRUDEOIL,2018-03-19,1 BBL,N.A.,N.A.,-,3215,-,100 BBL
2017,October,2017-10-06,FUTCOM,NATURALGAS,2017-10-26,1 mmBtu,N.A.,N.A.,191.9,186.7,39386,1250 mmBtu
2017,October,2017-10-06,FUTCOM,NATURALGAS,2017-11-27,1 mmBtu,N.A.,N.A.,203.6,186.7,1249,1250 mmBtu
2017,October,2017-10-06,FUTCOM,NATURALGAS,2017-12-26,1 mmBtu,N.A.,N.A.,211,186.7,26,1250 mmBtu
2017,October,2017-10-09,FUTCOM,COTTON,2017-10-31,1 BALES,N.A.,N.A.,18680,19010,936,25 BALES
2017,October,2017-10-09,FUTCOM,COTTON,2017-11-30,1 BALES,N.A.,N.A.,18390,19010,635,25 BALES
2017,October,2017-10-09,FUTCOM,COTTON,2017-12-29,1 BALES,N.A.,N.A.,18270,19010,405,25 BALES
2017,October,2017-10-09,FUTCOM,COTTON,2018-01-31,1 BALES,N.A.,N.A.,18400,19010,14,25 BALES
2017,October,2017-10-09,FUTCOM,CRUDEOIL,2017-10-18,1 BBL,N.A.,N.A.,3240,3238,107625,100 BBL
2017,October,2017-10-09,FUTCOM,CRUDEOIL,2017-11-17,1 BBL,N.A.,N.A.,3274,3238,2238,100 BBL
2017,October,2017-10-09,FUTCOM,CRUDEOIL,2017-12-18,1 BBL,N.A.,N.A.,3302,3238,60,100 BBL
2017,October,2017-10-09,FUTCOM,CRUDEOIL,2018-01-19,1 BBL,N.A.,N.A.,-,3238,-,100 BBL
2017,October,2017-10-09,FUTCOM,CRUDEOIL,2018-02-16,1 BBL,N.A.,N.A.,-,3238,-,100 BBL
2017,October,2017-10-09,FUTCOM,CRUDEOIL,2018-03-19,1 BBL,N.A.,N.A.,-,3238,-,100 BBL
2017,October,2017-10-09,FUTCOM,NATURALGAS,2017-10-26,1 mmBtu,N.A.,N.A.,188.2,185,37444,1250 mmBtu
2017,October,2017-10-09,FUTCOM,NATURALGAS,2017-11-27,1 mmBtu,N.A.,N.A.,200.2,185,1222,1250 mmBtu
2017,October,2017-10-09,FUTCOM,NATURALGAS,2017-12-26,1 mmBtu,N.A.,N.A.,209.6,185,54,1250 mmBtu
2017,October,2017-10-10,FUTCOM,COTTON,2017-10-31,1 BALES,N.A.,N.A.,18880,19130,1505,25 BALES
2017,October,2017-10-10,FUTCOM,COTTON,2017-11-30,1 BALES,N.A.,N.A.,18470,19130,737,25 BALES
2017,October,2017-10-10,FUTCOM,COTTON,2017-12-29,1 BALES,N.A.,N.A.,18350,19130,377,25 BALES
2017,October,2017-10-10,FUTCOM,COTTON,2018-01-31,1 BALES,N.A.,N.A.,18400,19130,112,25 BALES
2017,October,2017-10-10,FUTCOM,CRUDEOIL,2017-10-18,1 BBL,N.A.,N.A.,3249,3323,131610,100 BBL
2017,October,2017-10-10,FUTCOM,CRUDEOIL,2017-11-17,1 BBL,N.A.,N.A.,3282,3323,4208,100 BBL
2017,October,2017-10-10,FUTCOM,CRUDEOIL,2017-12-18,1 BBL,N.A.,N.A.,3312,3323,74,100 BBL
2017,October,2017-10-10,FUTCOM,CRUDEOIL,2018-01-19,1 BBL,N.A.,N.A.,-,3323,-,100 BBL
2017,October,2017-10-10,FUTCOM,CRUDEOIL,2018-02-16,1 BBL,N.A.,N.A.,-,3323,-,100 BBL
2017,October,2017-10-10,FUTCOM,CRUDEOIL,2018-03-19,1 BBL,N.A.,N.A.,-,3323,-,100 BBL
2017,October,2017-10-10,FUTCOM,NATURALGAS,2017-10-26,1 mmBtu,N.A.,N.A.,186.3,188.7,35269,1250 mmBtu
2017,October,2017-10-10,FUTCOM,NATURALGAS,2017-11-27,1 mmBtu,N.A.,N.A.,198.8,188.7,1121,1250 mmBtu
