Year,Month,Date,Equity Type,Commodity Name,Expiry,Price Unit,C/P Option,Strike Price,Open Price,Spot Price,Trading Volume Lots,Lot Size Units
2016,September,2016-09-01,FUTCOM,COTTON,2016-10-31,1 BALES,N.A.,N.A.,19650,21140,2011,25 BALES
2016,September,2016-09-01,FUTCOM,COTTON,2016-11-30,1 BALES,N.A.,N.A.,18500,21140,741,25 BALES
2016,September,2016-09-01,FUTCOM,COTTON,2016-12-30,1 BALES,N.A.,N.A.,18300,21140,573,25 BALES
2016,September,2016-09-01,FUTCOM,COTTON,2017-01-31,1 BALES,N.A.,N.A.,18410,21140,42,25 BALES
2016,September,2016-09-01,FUTCOM,CRUDEOIL,2016-09-19,1 BBL,N.A.,N.A.,3004,2890,191039,100 BBL
2016,September,2016-09-01,FUTCOM,CRUDEOIL,2016-10-19,1 BBL,N.A.,N.A.,3075,2890,8732,100 BBL
2016,September,2016-09-01,FUTCOM,CRUDEOIL,2016-11-18,1 BBL,N.A.,N.A.,3133,2890,268,100 BBL
2016,September,2016-09-01,FUTCOM,CRUDEOIL,2016-12-19,1 BBL,N.A.,N.A.,3193,2890,17,100 BBL
2016,September,2016-09-01,FUTCOM,CRUDEOIL,2017-01-19,1 BBL,N.A.,N.A.,3212,2890,4,100 BBL
2016,September,2016-09-01,FUTCOM,CRUDEOIL,2017-02-17,1 BBL,N.A.,N.A.,3313,2890,6,100 BBL
2016,September,2016-09-01,FUTCOM,NATURALGAS,2016-09-27,1 mmBtu,N.A.,N.A.,193.1,186.9,57493,1250 mmBtu
2016,September,2016-09-01,FUTCOM,NATURALGAS,2016-10-26,1 mmBtu,N.A.,N.A.,200.6,186.9,3088,1250 mmBtu
2016,September,2016-09-01,FUTCOM,NATURALGAS,2016-11-25,1 mmBtu,N.A.,N.A.,215,186.9,279,1250 mmBtu
2016,September,2016-09-02,FUTCOM,COTTON,2016-10-31,1 BALES,N.A.,N.A.,20180,21060,3277,25 BALES
2016,September,2016-09-02,FUTCOM,COTTON,2016-11-30,1 BALES,N.A.,N.A.,18920,21060,638,25 BALES
2016,September,2016-09-02,FUTCOM,COTTON,2016-12-30,1 BALES,N.A.,N.A.,18700,21060,903,25 BALES
2016,September,2016-09-02,FUTCOM,COTTON,2017-01-31,1 BALES,N.A.,N.A.,18790,21060,185,25 BALES
