Date,Open,High,Low,Close,Adj Close,Volume
01-01-1997,15.833333,15.833333,15.833333,15.833333,4.716241,3600
02-01-1997,15.555555,15.555555,15.555555,15.555555,4.633501,3600
03-01-1997,15.555555,15.555555,15.555555,15.555555,4.633501,0
06-01-1997,15.555555,15.555555,15.555555,15.555555,4.633501,0
07-01-1997,15,15,15,15,4.468019,3600
08-01-1997,15,15,15,15,4.468019,0
09-01-1997,15,15,15,15,4.468019,0
10-01-1997,15,15,15,15,4.468019,0
13-01-1997,15.819444,15.819444,15.013888,15.013888,4.472154,72000
14-01-1997,15,15.833333,15,15.833333,4.716241,7200
15-01-1997,15.833333,15.833333,15.833333,15.833333,4.716241,0
16-01-1997,16.527777,16.805555,16.527777,16.805555,5.005836,25200
17-01-1997,17.777777,17.777777,17.777777,17.777777,5.295429,3600
20-01-1997,16.666666,16.666666,16.666666,16.666666,4.964465,3600
21-01-1997,15.833333,17.638887,15.833333,17.444445,5.196141,219600
22-01-1997,17.549999,17.549999,17.549999,17.549999,5.227582,36000
23-01-1997,17.549999,17.549999,17.549999,17.549999,5.227582,0
24-01-1997,17.416666,17.638887,17.416666,17.552776,5.228408,158400
27-01-1997,17.638887,17.638887,17.361111,17.593056,5.240407,90000
28-01-1997,17.5,17.5,17.444445,17.444445,5.196141,10800
29-01-1997,17.916666,17.916666,17.611111,17.623611,5.249508,122400
30-01-1997,18.805555,18.805555,17.5,17.569445,5.233372,79200
31-01-1997,17.083332,17.083332,17.083332,17.083332,5.088577,180000
03-02-1997,17.083332,17.083332,17.083332,17.083332,5.088577,0
04-02-1997,15.972222,17.777777,15.972222,17.777777,5.295429,187200
05-02-1997,17.083332,17.361111,17.083332,17.361111,5.171317,183600
06-02-1997,17.305555,17.305555,17.305555,17.305555,5.154769,180000
07-02-1997,17.305555,17.305555,17.305555,17.305555,5.154769,0
10-02-1997,17.444445,17.444445,17.444445,17.444445,5.196141,180000
11-02-1997,16.944445,16.944445,16.944445,16.944445,5.047206,3600
12-02-1997,17.444445,17.444445,17.444445,17.444445,5.196141,180000
13-02-1997,17.361111,17.5,17.222221,17.416666,5.187867,442800
14-02-1997,16.944445,17.444445,16.944445,17.444445,5.196141,187200
17-02-1997,17.083332,17.083332,16.944445,16.944445,5.047206,187200
18-02-1997,16.805555,17.041666,16.805555,17.001389,5.064169,64800
19-02-1997,17.001389,17.001389,17.001389,17.001389,5.064169,0
20-02-1997,16.388887,16.388887,16.388887,16.388887,4.881724,3600
21-02-1997,17.222221,17.222221,17.222221,17.222221,5.129946,3600
24-02-1997,16.666666,17.159721,16.666666,16.708332,4.976876,79200
25-02-1997,15.972222,15.972222,15.972222,15.972222,4.757612,3600
26-02-1997,15.972222,15.972222,15.972222,15.972222,4.757612,0
27-02-1997,15.972222,15.972222,15.972222,15.972222,4.757612,0
28-02-1997,15.972222,15.972222,15.972222,15.972222,4.757612,0
03-03-1997,15.972222,15.972222,15.972222,15.972222,4.757612,0
04-03-1997,15.972222,15.972222,15.972222,15.972222,4.757612,0
05-03-1997,15.972222,15.972222,15.972222,15.972222,4.757612,0
06-03-1997,15.972222,15.972222,15.972222,15.972222,4.757612,0
07-03-1997,15.972222,15.972222,15.972222,15.972222,4.757612,0
10-03-1997,15.972222,15.972222,15.972222,15.972222,4.757612,0
11-03-1997,15.972222,15.972222,15.972222,15.972222,4.757612,7200
12-03-1997,17.090277,17.090277,17.090277,17.090277,5.090645,7200
13-03-1997,17.090277,17.090277,17.090277,17.090277,5.090645,0
14-03-1997,17.090277,17.090277,17.090277,17.090277,5.090645,0
17-03-1997,17.993055,17.993055,17.006945,17.777777,5.295429,266400
18-03-1997,17.75,17.777777,17.75,17.777777,5.295429,7200
19-03-1997,17.527777,17.527777,17.527777,17.527777,5.220963,3600
20-03-1997,17.527777,17.527777,17.527777,17.527777,5.220963,0
21-03-1997,18.75,18.75,16.944445,18.75,5.585023,18000
24-03-1997,18.75,18.75,18.75,18.75,5.585023,0
25-03-1997,20.055555,20.055555,17.5,18.727777,5.578404,28800
26-03-1997,20,20,17.5,17.638887,5.254059,36000
27-03-1997,17.638887,17.638887,17.638887,17.638887,5.254059,0
28-03-1997,17.638887,17.638887,17.638887,17.638887,5.254059,0
31-03-1997,17.638887,17.638887,17.638887,17.638887,5.254059,3600
01-04-1997,17.361111,17.361111,17.361111,17.361111,5.171317,3600
02-04-1997,17.361111,17.361111,17.361111,17.361111,5.171317,0
03-04-1997,17.361111,17.361111,17.361111,17.361111,5.171317,3600
04-04-1997,17.361111,17.361111,17.361111,17.361111,5.171317,0
07-04-1997,18.052776,18.052776,18.052776,18.052776,5.377343,3600
08-04-1997,18.052776,18.052776,18.052776,18.052776,5.377343,0
09-04-1997,18.052776,18.052776,18.052776,18.052776,5.377343,0
10-04-1997,18.052776,18.052776,18.052776,18.052776,5.377343,0
11-04-1997,18.052776,18.052776,18.052776,18.052776,5.377343,0
14-04-1997,18.052776,18.052776,18.052776,18.052776,5.377343,0
15-04-1997,17.361111,17.361111,17.361111,17.361111,5.171317,7200
16-04-1997,17.361111,17.361111,17.361111,17.361111,5.171317,0
17-04-1997,18.052776,18.052776,18.052776,18.052776,5.377343,3600
18-04-1997,18.052776,18.052776,18.052776,18.052776,5.377343,0
21-04-1997,18.052776,18.194445,18.052776,18.194445,5.419541,14400
22-04-1997,18.194445,18.194445,18.194445,18.194445,5.419541,0
23-04-1997,18.888887,18.888887,18.888887,18.888887,5.626393,3600
24-04-1997,18.888887,18.888887,18.888887,18.888887,5.626393,0
25-04-1997,18.333332,18.333332,18.333332,18.333332,5.460912,10800
28-04-1997,19.166666,19.166666,19.166666,19.166666,5.709136,10800
29-04-1997,19.166666,19.166666,19.166666,19.166666,5.709136,0
30-04-1997,19.861111,19.961111,19.861111,19.961111,5.945773,720000
01-05-1997,19.961111,19.961111,19.961111,19.961111,5.945773,0
02-05-1997,19.961111,19.961111,19.961111,19.961111,5.945773,0
05-05-1997,19.972221,20,19.166666,19.166666,5.709136,43200
06-05-1997,17.916666,20.416666,17.916666,18.25,5.436089,43200
07-05-1997,19.527777,19.527777,19.527777,19.527777,5.816698,3600
08-05-1997,20.833332,20.833332,20.833332,20.833332,6.205581,3600
09-05-1997,20.833332,20.833332,20.833332,20.833332,6.205581,0
12-05-1997,19.725,21.362499,19.722221,21.236111,6.325556,64800
13-05-1997,19.790277,20.277777,19.790277,20.277777,6.0401,54000
14-05-1997,20.277777,20.277777,20.277777,20.277777,6.0401,0
15-05-1997,20.277777,20.277777,20.277777,20.277777,6.0401,0
16-05-1997,21.527777,21.527777,20.833332,20.833332,6.205581,7200
19-05-1997,21.111111,21.111111,20.694445,20.694445,6.164209,75600
20-05-1997,20.833332,20.833332,20.833332,20.833332,6.205581,3600
21-05-1997,20.833332,20.833332,20.833332,20.833332,6.205581,0
22-05-1997,20.833332,20.833332,20.833332,20.833332,6.205581,0
23-05-1997,20.697222,20.708332,20.697222,20.702778,6.166692,21600
26-05-1997,19.388887,21.472221,19.388887,21.111111,6.288323,36000
27-05-1997,20.694445,21.361111,20.694445,21.297222,6.343759,64800
28-05-1997,21.111111,21.111111,21.111111,21.111111,6.288323,3600
29-05-1997,21.666666,22.222221,21.666666,21.666666,6.453806,1828800
30-05-1997,22.222221,22.5,21.527777,22.416666,6.677206,795600
02-06-1997,22.222221,22.916666,22.222221,22.815277,6.795939,644400
03-06-1997,21.25,24.305555,21.25,24.305555,7.239847,388800
04-06-1997,22.916666,22.916666,22.645832,22.780556,6.785596,187200
05-06-1997,23.333332,24.305555,22.916666,23.888887,7.115734,297000
06-06-1997,23.333332,24.833332,23.333332,24.833332,7.397053,39600
09-06-1997,23.611111,25.277777,23.416666,25.194445,7.504618,329400
10-06-1997,26.388887,26.388887,24.722221,24.722221,7.363956,23400
11-06-1997,25,25,24.722221,24.722221,7.363956,46800
12-06-1997,24.861111,25,24.805555,24.805555,7.388777,10800
13-06-1997,25,25,24.722221,24.722221,7.363956,10800
16-06-1997,25.027777,25.027777,24.722221,24.722221,7.363956,5400
17-06-1997,23.333332,23.333332,23,23,6.850964,16200
18-06-1997,21.919443,23.583332,21.919443,23.583332,7.024718,5400
19-06-1997,22.777777,22.888887,22.222221,22.888887,6.817865,19800
20-06-1997,21.666666,21.666666,21.666666,21.666666,6.453806,1800
23-06-1997,21.529165,22.229166,21.529165,22.229166,6.621355,7200
24-06-1997,23.609722,23.611111,22.958332,23.006945,6.85303,12600
25-06-1997,23.638887,24.277777,23.638887,24.277777,7.23157,28800
26-06-1997,24.583332,24.583332,24.166666,24.166666,7.198476,10800
27-06-1997,24.166666,24.166666,24.166666,24.166666,7.198476,0
30-06-1997,23.611111,23.611111,23.611111,23.611111,7.032992,1800
01-07-1997,23.75,23.75,21.961111,21.961111,6.54151,12600
02-07-1997,23.311111,23.311111,23.311111,23.311111,6.943631,1800
03-07-1997,22.805555,23.611111,22.805555,23.583332,7.024718,23400
04-07-1997,24.166666,24.166666,24.166666,24.166666,7.198476,7200
07-07-1997,22.777777,24.083332,22.777777,24.083332,7.173654,21600
08-07-1997,24.083332,24.083332,24.083332,24.083332,7.173654,0
09-07-1997,24.777777,24.777777,22.916666,22.930555,6.830276,14400
10-07-1997,24.052776,24.052776,24.052776,24.052776,7.164549,3600
11-07-1997,23.055555,23.055555,22.5,22.5,6.702027,10800
14-07-1997,24.0625,24.0625,24.0625,24.0625,7.167446,1800000
15-07-1997,24.125,24.125,22.383333,22.943054,6.834,1270800
16-07-1997,22.916666,22.916666,22.916666,22.916666,6.82614,1800
17-07-1997,21.336111,23.583332,21.336111,23.583332,7.024718,3600
18-07-1997,23.583332,23.583332,23.583332,23.583332,7.024718,0
21-07-1997,24.833332,24.833332,21.944445,21.944445,6.536548,28800
22-07-1997,22.913889,22.913889,20.833332,22.913889,6.825314,9000
23-07-1997,22.913889,22.913889,22.913889,22.913889,6.825314,0
24-07-1997,22.913889,22.913889,22.913889,22.913889,6.825314,0
25-07-1997,22.913889,22.913889,22.913889,22.913889,6.825314,0
28-07-1997,21.333332,21.333332,21.333332,21.333332,6.354517,5400
29-07-1997,21.333332,21.333332,21.333332,21.333332,6.354517,0
30-07-1997,22.63611,22.638887,21.694445,21.694445,6.462078,5400
31-07-1997,21.694445,21.694445,21.694445,21.694445,6.462078,0
01-08-1997,21.694445,21.694445,21.694445,21.694445,6.462078,0
04-08-1997,23.194445,23.194445,20.340277,21.527777,6.412436,52200
05-08-1997,21.391666,22.75,21.111111,22.75,6.776494,9000
06-08-1997,22.75,22.75,22.75,22.75,6.776494,0
07-08-1997,21.527777,21.527777,21.527777,21.527777,6.412436,3600
08-08-1997,21.527777,21.527777,21.527777,21.527777,6.412436,3600
11-08-1997,21.527777,22.083332,21.527777,22.083332,6.577916,3600
12-08-1997,22.083332,22.222221,21.527777,21.565277,6.423605,10800
13-08-1997,20.833332,23.027777,20.833332,22.222221,6.619287,23400
14-08-1997,22.222221,22.222221,22.220833,22.222221,6.619287,14400
15-08-1997,22.222221,22.222221,22.222221,22.222221,6.619287,0
18-08-1997,22.208332,22.222221,22.208332,22.222221,6.619287,9000
19-08-1997,21.527777,21.527777,20.694445,20.694445,6.164209,9000
20-08-1997,21.333332,22.141666,21.333332,22.0625,6.571712,16200
21-08-1997,23.055555,23.583332,23.055555,23.472221,6.991622,25200
22-08-1997,24.691666,24.805555,23.611111,23.625,7.03713,25200
25-08-1997,23.333332,23.333332,22.673611,22.673611,6.753743,9000
26-08-1997,22.223612,22.916666,22.223612,22.513887,6.706164,19800
27-08-1997,21.944445,22.776388,21.944445,22.301388,6.642868,16200
28-08-1997,22.301388,22.301388,22.301388,22.301388,6.642868,0
29-08-1997,21.805555,21.805555,21.805555,21.805555,6.527698,1800
01-09-1997,21.666666,23.027777,21.111111,23.027777,6.89358,9000
02-09-1997,23,23.031944,23,23.031944,6.894831,7200
03-09-1997,23.055555,23.055555,22.222221,22.481943,6.730181,28800
04-09-1997,22.222221,22.222221,20.916666,21.5,6.436226,73800
05-09-1997,21.111111,21.111111,20.555555,20.555555,6.153497,27000
08-09-1997,21.593056,21.593056,19.308332,21.025,6.294031,217800
09-09-1997,20.972221,20.972221,20.972221,20.972221,6.278232,1800
10-09-1997,20.972221,20.972221,20.972221,20.972221,6.278232,0
11-09-1997,20.693054,20.693054,20.416666,20.555555,6.153497,5400
12-09-1997,19.722221,19.722221,19.527777,19.590277,5.864534,9000
15-09-1997,19.979166,19.980555,18.672222,19.861111,5.94561,16200
16-09-1997,18.916666,19.444445,18.888887,18.888887,5.654566,43200
17-09-1997,19.444445,19.833332,18.888887,19.730555,5.906528,54000
18-09-1997,19.444445,19.444445,19.069445,19.305555,5.779299,23400
19-09-1997,20.137501,20.137501,19.833332,19.861111,5.94561,9000
22-09-1997,19.169443,19.305555,18.888887,18.888887,5.654566,16200
23-09-1997,18.783333,19.236111,18.777777,19.116667,5.722754,9000
24-09-1997,19.116667,19.116667,19.116667,19.116667,5.722754,0
25-09-1997,19.116667,19.116667,19.116667,19.116667,5.722754,0
26-09-1997,19.116667,19.116667,19.116667,19.116667,5.722754,0
29-09-1997,19.9375,19.9375,19.5,19.5,5.837508,5400
30-09-1997,19.720833,19.720833,19.25,19.25,5.762669,9000
01-10-1997,19.944445,19.944445,19.944445,19.944445,5.970557,1800
02-10-1997,19.944445,19.944445,19.944445,19.944445,5.970557,0
03-10-1997,19.944445,19.944445,19.944445,19.944445,5.970557,0
06-10-1997,19.944445,19.944445,19.944445,19.944445,5.970557,0
07-10-1997,19.944445,19.944445,19.944445,19.944445,5.970557,0
08-10-1997,19.944445,19.944445,19.944445,19.944445,5.970557,0
09-10-1997,19.444445,19.722221,19.277777,19.722221,5.904033,9000
10-10-1997,19.722221,19.861111,19.722221,19.861111,5.94561,5400
13-10-1997,19.75,19.861111,19.472221,19.861111,5.94561,9000
14-10-1997,19.722221,19.859722,19.444445,19.444445,5.820878,9000
15-10-1997,19.444445,19.444445,19.444445,19.444445,5.820878,0
16-10-1997,19.444445,19.444445,19.444445,19.444445,5.820878,0
17-10-1997,19.583332,19.583332,19.583332,19.583332,5.862455,1800
20-10-1997,19.388887,19.388887,19.388887,19.388887,5.804245,3600
21-10-1997,19.305555,19.444445,19.027777,19.131945,5.727326,14400
22-10-1997,19.131945,19.131945,19.131945,19.131945,5.727326,0
23-10-1997,19.666666,19.861111,19.666666,19.861111,5.94561,10800
24-10-1997,19.861111,19.861111,19.861111,19.861111,5.94561,1800
27-10-1997,19.862499,19.862499,19.583332,19.583332,5.862455,5400
28-10-1997,19.805555,19.805555,18.611111,18.819445,5.633778,9000
29-10-1997,18.944445,19.027777,18.944445,19.027777,5.696143,5400
30-10-1997,19.027777,19.027777,19.027777,19.027777,5.696143,1800
31-10-1997,19.027777,19.027777,19.027777,19.027777,5.696143,0
03-11-1997,19.026388,19.026388,19.026388,19.026388,5.695725,1800
04-11-1997,18.75,18.75,18.083332,18.083332,5.413417,16200
05-11-1997,18.083332,18.083332,18.083332,18.083332,5.413417,0
06-11-1997,18.083332,18.083332,18.083332,18.083332,5.413417,0
07-11-1997,18.859722,18.859722,18.333332,18.333332,5.488255,5400
10-11-1997,18.527777,18.527777,18.527777,18.527777,5.546463,1800
11-11-1997,18.888887,18.888887,18.888887,18.888887,5.654566,1800
12-11-1997,18.888887,18.888887,18.888887,18.888887,5.654566,0
13-11-1997,19.027777,19.166666,18.391666,18.815277,5.63253,23400
14-11-1997,18.815277,18.815277,18.815277,18.815277,5.63253,0
17-11-1997,18.083332,18.919443,18.083332,18.919443,5.663713,5400
18-11-1997,18.944445,19.583332,18.944445,19.270832,5.768907,10800
19-11-1997,19.305555,19.583332,19.305555,19.494444,5.835845,18000
20-11-1997,19.861111,20.055555,19.166666,19.166666,5.73772,9000
21-11-1997,20.055555,20.055555,19.195833,19.195833,5.746451,7200
24-11-1997,19.444445,19.444445,18.666666,18.805555,5.62962,252000
25-11-1997,18.388887,18.777777,18.361111,18.509722,5.541057,5400
26-11-1997,18.611111,18.611111,18.611111,18.611111,5.571411,3600
27-11-1997,18.611111,18.611111,18.611111,18.611111,5.571411,1800
28-11-1997,18.611111,18.611111,18.611111,18.611111,5.571411,0
01-12-1997,18.611111,18.611111,18.611111,18.611111,5.571411,108000
02-12-1997,17.930555,17.930555,17.694445,17.694445,5.296999,14400
03-12-1997,17.694445,17.694445,17.694445,17.694445,5.296999,0
04-12-1997,17.694445,17.694445,17.694445,17.694445,5.296999,0
05-12-1997,17.694445,17.694445,17.694445,17.694445,5.296999,0
08-12-1997,17.694445,17.694445,17.694445,17.694445,5.296999,0
09-12-1997,17.5,17.5,17.5,17.5,5.238789,1800
10-12-1997,18.333332,18.333332,18.055555,18.333332,5.488255,9000
11-12-1997,17.777777,17.777777,17.777777,17.777777,5.321945,1800
12-12-1997,17.5,17.777777,17.5,17.777777,5.321945,3600
15-12-1997,17.777777,17.777777,17.777777,17.777777,5.321945,0
16-12-1997,18.055555,18.055555,17.777777,17.777777,5.321945,5400
17-12-1997,17.777777,17.777777,17.777777,17.777777,5.321945,0
18-12-1997,17.777777,17.777777,17.777777,17.777777,5.321945,0
19-12-1997,17.5,18.222221,17.5,18.055555,5.405099,1224000
22-12-1997,17.777777,18.194445,17.777777,18.194445,5.446678,48600
23-12-1997,18.194445,18.194445,18.194445,18.194445,5.446678,0
24-12-1997,18.055555,18.194445,18.055555,18.194445,5.446678,23400
25-12-1997,18.194445,18.194445,18.194445,18.194445,5.446678,0
26-12-1997,18.194445,18.194445,18.194445,18.194445,5.446678,0
29-12-1997,18.194445,18.194445,18.194445,18.194445,5.446678,1800
30-12-1997,18.194445,18.194445,18.194445,18.194445,5.446678,0
31-12-1997,18.25,18.25,18.25,18.25,5.46331,43200
01-01-1998,17.544443,19.138887,17.544443,19.138887,5.729405,12600
02-01-1998,19.722221,20.083332,19.722221,20.083332,6.012134,10800
05-01-1998,20.888887,20.888887,20.277777,20.277777,6.070343,12600
06-01-1998,20.138887,20.555555,20.138887,20.555555,6.153497,3600
07-01-1998,20.555555,20.555555,20.555555,20.555555,6.153497,0
08-01-1998,20.555555,20.555555,20.555555,20.555555,6.153497,1800
09-01-1998,20.555555,20.555555,20.555555,20.555555,6.153497,0
12-01-1998,18.501389,20.529165,18.501389,20.529165,6.145597,144000
13-01-1998,19.444445,19.444445,19.444445,19.444445,5.820878,3600
14-01-1998,19.444445,19.444445,19.444445,19.444445,5.820878,0
15-01-1998,19.416666,19.416666,19.416666,19.416666,5.812561,1800
16-01-1998,19.416666,19.416666,19.416666,19.416666,5.812561,0
19-01-1998,18.611111,18.611111,18.611111,18.611111,5.571411,180000
20-01-1998,18.611111,18.611111,18.569445,18.569445,5.558938,363600
21-01-1998,18.611111,18.611111,18.333332,18.333332,5.488255,295200
22-01-1998,20,20,17.972221,17.972221,5.380153,277200
23-01-1998,16.666666,16.666666,16.666666,16.666666,4.989324,18000
26-01-1998,16.666666,16.666666,16.666666,16.666666,4.989324,0
27-01-1998,17.777777,18.055555,17.777777,18.055555,5.405099,7200
28-01-1998,19.722221,19.861111,18.055555,18.201387,5.448756,18000
29-01-1998,17,17,17,17,5.089109,9000
30-01-1998,18.333332,18.333332,18.333332,18.333332,5.488255,3600
02-02-1998,18.333332,18.333332,18.333332,18.333332,5.488255,0
03-02-1998,19.138887,19.138887,17.361111,17.361111,5.197212,7200
04-02-1998,17.361111,17.361111,17.361111,17.361111,5.197212,0
05-02-1998,17.361111,17.361111,17.361111,17.361111,5.197212,0
06-02-1998,19,19,18.75,18.75,5.612989,3600
09-02-1998,18.75,18.75,18.75,18.75,5.612989,0
10-02-1998,18.75,18.75,18.75,18.75,5.612989,0
11-02-1998,18.75,18.75,18.75,18.75,5.612989,0
12-02-1998,17.5,18.055555,17.5,17.5,5.238789,25200
13-02-1998,17.5,17.5,17.5,17.5,5.238789,1800
16-02-1998,17.5,17.5,17.5,17.5,5.238789,0
17-02-1998,17.5,18.302776,17.222221,17.765278,5.318203,16200
18-02-1998,17.765278,17.765278,17.765278,17.765278,5.318203,0
19-02-1998,17.765278,17.765278,17.765278,17.765278,5.318203,0
20-02-1998,18.055555,18.055555,18.055555,18.055555,5.405099,3600
23-02-1998,17.027777,18.027777,17.027777,18.027777,5.396784,18000
24-02-1998,19.166666,19.166666,19.166666,19.166666,5.73772,10800
25-02-1998,18.888887,18.888887,18.888887,18.888887,5.654566,5400
26-02-1998,18.194445,18.611111,18.194445,18.611111,5.571411,34200
27-02-1998,17.916666,17.916666,17.861111,17.888887,5.355207,7200
02-03-1998,18.888887,18.888887,17.777777,17.777777,5.321945,16200
03-03-1998,17.638887,17.638887,17.222221,17.487499,5.235047,14400
04-03-1998,17.5,17.5,17.118055,17.118055,5.124452,18000
05-03-1998,17.118055,17.118055,17.118055,17.118055,5.124452,0
06-03-1998,17.118055,17.118055,17.118055,17.118055,5.124452,0
09-03-1998,17.222221,18.047222,16.972221,18.047222,5.402606,9000
10-03-1998,17.5,18.111111,17.5,17.934723,5.368926,9000
11-03-1998,17.934723,17.934723,17.934723,17.934723,5.368926,0
12-03-1998,17.934723,17.934723,17.934723,17.934723,5.368926,0
13-03-1998,17.934723,17.934723,17.934723,17.934723,5.368926,0
16-03-1998,18.111111,18.111111,18.111111,18.111111,5.421731,7200
17-03-1998,16.419443,17.916666,16.419443,17.083332,5.114056,50400
18-03-1998,17.361111,17.361111,16.444445,16.797222,5.028405,52200
19-03-1998,16.833332,16.833332,15.833333,16.238888,4.861263,113400
20-03-1998,16.361111,16.361111,15.361111,15.565277,4.659612,140400
23-03-1998,15.305555,15.75,14.805555,14.805555,4.432181,43200
24-03-1998,15.805555,15.833333,15.138888,15.143055,4.533215,248400
25-03-1998,14.722222,15.829166,14.416666,14.477777,4.334059,2795400
26-03-1998,14.638888,15.444444,14.583333,15.004166,4.491639,680400
27-03-1998,16,16,15.084722,15.866666,4.749834,109800
30-03-1998,17.361111,17.361111,15.833333,15.833333,4.739857,95400
31-03-1998,16.25,17.222221,15.138888,16.147223,4.833824,358200
01-04-1998,15.833333,16.666666,14.584722,15.022222,4.497043,784800
02-04-1998,15.055555,15.136111,13.902777,14.059722,4.208909,1020600
03-04-1998,14.194444,14.305555,13.138888,13.991666,4.188537,1369800
06-04-1998,14,14.027777,13.722222,13.895833,4.159849,975600
07-04-1998,13.888888,14.222222,13.833333,14.005555,4.192695,1364400
08-04-1998,14.005555,14.005555,14.005555,14.005555,4.192695,0
09-04-1998,14.719444,15.416666,14.475,14.938888,4.472096,1585800
10-04-1998,15.027777,15.111111,14.861111,14.952777,4.476254,712800
13-04-1998,14.638888,14.944444,14.583333,14.666666,4.390605,1546200
14-04-1998,14.666666,14.666666,14.666666,14.666666,4.390605,0
15-04-1998,14.866666,15.277777,14.866666,15.020833,4.496626,802800
