Date,Open,High,Low,Close,Adj Close,Volume
02-01-2007,75,75.75,73.599998,74,54.569992,301305
03-01-2007,75,75,73,73.599998,54.275017,172117
04-01-2007,74,82.300003,73,79.650002,58.736477,2186571
05-01-2007,80,80.5,76.550003,77.25,56.966644,624907
08-01-2007,77.099998,81.550003,76.550003,79.650002,58.736477,1113697
09-01-2007,80.75,83.349998,79,79.849998,58.883961,941693
10-01-2007,79,79.900002,76.550003,76.900002,56.708553,341209
11-01-2007,77.75,80,76.699997,79.349998,58.515251,481405
12-01-2007,80,82,78.800003,79.849998,58.883961,506535
15-01-2007,80,82,78.699997,80.550003,59.400169,397756
16-01-2007,81,81.199997,79,79.349998,58.515251,255913
17-01-2007,79.949997,80,78.5,78.849998,58.146542,152373
18-01-2007,79.5,81.400002,78.099998,78.5,57.888432,276879
19-01-2007,79,79.75,76.25,77,56.782288,144585
22-01-2007,78,79.800003,77.199997,77.449997,57.114132,134083
23-01-2007,77.5,78.5,75.550003,76.599998,56.487312,117503
24-01-2007,77,77.800003,75.800003,76.150002,56.155468,86189
25-01-2007,77,80.800003,75.400002,76.449997,56.37669,127614
29-01-2007,77,79,76.5,77.050003,56.819164,282637
31-01-2007,77.25,77.849998,75.050003,75.199997,55.454899,82906
01-02-2007,76,77,74,74.199997,54.717484,89372
02-02-2007,75,75.400002,70,73.449997,54.164398,190983
05-02-2007,74.5,77.650002,72.699997,76.050003,56.081722,374948
06-02-2007,76.849998,78.349998,75.550003,76.050003,56.081722,201033
07-02-2007,76.099998,76.900002,73.099998,74.599998,55.012455,116634
08-02-2007,75,75.400002,73.5,73.849998,54.459377,84203
09-02-2007,74.349998,74.900002,71.599998,72,53.095112,88935
12-02-2007,76.800003,76.800003,69.050003,69.650002,51.362156,119703
13-02-2007,70,71.5,68.550003,69.449997,51.214672,121338
14-02-2007,69,69.900002,67.150002,69.449997,51.214672,88482
15-02-2007,70.900002,71.900002,70.5,71.449997,52.689533,95232
19-02-2007,71,72.699997,71,71.650002,52.837021,82550
20-02-2007,72,72.400002,69.75,70.050003,51.657143,54002
21-02-2007,70,70.400002,69.099998,69.550003,51.288429,68829
22-02-2007,69.400002,70,67.400002,68,50.14539,59510
23-02-2007,68.75,68.900002,65.25,66.099998,48.744282,113122
26-02-2007,66.75,68,66,67.300003,49.629204,70709
27-02-2007,68.349998,71.25,68.349998,68.900002,50.809093,196947
28-02-2007,66,69.25,65,67.949997,50.108524,193564
01-03-2007,68,68.199997,65.800003,66.699997,49.186737,79129
02-03-2007,66.25,66.949997,65,65.300003,48.154331,78952
05-03-2007,64,64.5,60.549999,60.849998,44.872749,102946
06-03-2007,64.300003,64.300003,59.099998,62.150002,45.831413,123516
07-03-2007,64,64,58.549999,59.549999,43.914093,69119
08-03-2007,61,61,57.799999,59.75,44.061581,98296
09-03-2007,61.5,61.5,58.650002,59.099998,43.582253,56044
12-03-2007,60,62,59.25,61.400002,45.278347,73420
13-03-2007,62.450001,63.900002,60.599998,63.5,46.826958,100076
14-03-2007,57.549999,62.5,57.5,61,44.983372,63261
15-03-2007,62,62.900002,61,61.25,45.167732,28088
16-03-2007,61.5,62.799999,59.75,61.650002,45.462708,65555
19-03-2007,62,62.650002,60.5,61,44.983372,31815
20-03-2007,62,62,60.099998,60.549999,44.651524,29576
21-03-2007,61,62.950001,60.049999,60.599998,44.6884,93138
22-03-2007,61,62,60.650002,60.900002,44.90963,36235
23-03-2007,60.25,62,59.700001,60.049999,44.575588,71156
26-03-2007,60,61.400002,59,59.150002,43.907509,63561
28-03-2007,59.299999,59.799999,57.400002,57.700001,42.831165,60275
29-03-2007,59,59.400002,58.099998,58.349998,43.313663,29820
30-03-2007,59.400002,59.75,58.400002,59.200001,43.94463,48164
02-04-2007,59.900002,59.900002,57,57.599998,42.756935,45651
03-04-2007,57.599998,58.349998,56.549999,56.900002,42.237324,66919
04-04-2007,58,60.700001,57.099998,57.599998,42.756935,241017
05-04-2007,58.700001,59.400002,57.299999,57.599998,42.756935,209624
09-04-2007,58.549999,60,58.25,59.099998,43.870399,140449
10-04-2007,60.25,61.5,59.900002,61.25,45.466351,285700
11-04-2007,61.299999,64.5,61.200001,63.599998,47.210773,274606
12-04-2007,62.5,63.900002,62,63.200001,46.913857,118261
13-04-2007,63.900002,64.800003,63.25,64.400002,47.80463,143483
16-04-2007,64.599998,65.699997,64.550003,64.949997,48.212898,86661
17-04-2007,65.25,66,63.099998,63.349998,47.025211,71190
18-04-2007,64.400002,65.5,63.549999,64.400002,47.80463,118437
19-04-2007,63.599998,67.400002,63.099998,65.800003,48.843861,111875
20-04-2007,67.199997,67.25,65.150002,65.5,48.621162,56453
23-04-2007,66.75,70.5,65.349998,69.050003,51.256359,733359
24-04-2007,70.5,73.050003,69.050003,70.400002,52.258465,535047
25-04-2007,71,71.849998,69,69.599998,51.664631,240944
26-04-2007,70.449997,70.650002,68.300003,68.75,51.033669,133638
27-04-2007,67.949997,68.849998,66.5,67,49.734634,79171
30-04-2007,66.849998,67.949997,65.650002,67.25,49.920197,53005
03-05-2007,67.099998,69,67.099998,67.75,50.291363,57673
04-05-2007,67.25,68.400002,66.099998,66.5,49.36348,48750
07-05-2007,66.949997,70.900002,66.300003,68.300003,50.699638,262522
08-05-2007,69,72,68.550003,69.5,51.590389,490004
09-05-2007,70,70.349998,68.5,69.25,51.404823,96063
10-05-2007,70,70.349998,67.599998,68.050003,50.514053,86855
11-05-2007,67.449997,68.5,66.5,67.349998,49.994434,62807
14-05-2007,68,68.650002,67.099998,67.449997,50.068668,67136
15-05-2007,67.5,68,67,67.599998,50.180008,57671
16-05-2007,68.199997,74.5,67.199997,73.849998,54.819439,1023341
17-05-2007,75,75,71.75,71.949997,53.409042,238777
18-05-2007,70.300003,71.800003,70,70.25,52.147133,110803
21-05-2007,70.550003,73.5,70.25,71.400002,53.000782,212215
22-05-2007,71.699997,77.400002,70.75,75.5,56.044243,846559
23-05-2007,77,79.900002,76.099998,76.650002,56.897915,1170345
24-05-2007,77,77.449997,73.800003,74.449997,55.264812,209357
25-05-2007,76.949997,78.800003,73.5,77.150002,57.269051,331327
28-05-2007,78,80.5,77.300003,78.199997,58.048485,571655
29-05-2007,79,79.5,77.150002,77.849998,57.788673,271319
30-05-2007,77,77.5,71,72.199997,53.594624,321245
31-05-2007,74.449997,74.449997,67.599998,68.900002,51.145004,547812
01-06-2007,70.199997,72,67.900002,68.449997,50.810978,321585
04-06-2007,70,71.599998,69,69.800003,51.813095,182316
05-06-2007,69.349998,70.5,68.5,68.650002,50.95945,219353
06-06-2007,69,70,66.900002,67.349998,49.994434,161660
07-06-2007,67,68.5,67,67.400002,50.031551,83069
08-06-2007,67,67,65,65.300003,48.47271,118232
11-06-2007,67,67.800003,62,62.349998,46.282902,289100
12-06-2007,62.400002,63.700001,60.200001,61.150002,45.392128,220736
13-06-2007,61.650002,63.25,61,62.049999,46.060204,102564
14-06-2007,63.799999,65,62.299999,64.449997,47.841743,128651
15-06-2007,70,70,64.550003,64.900002,48.175781,139773
18-06-2007,65.650002,65.849998,64.050003,64.400002,47.80463,66186
19-06-2007,65,65,63.549999,64.550003,47.915977,40241
20-06-2007,64.550003,66.5,64.550003,65.800003,48.843861,139965
21-06-2007,64,66.75,63.25,65.800003,48.843861,89987
22-06-2007,65.5,67,65.5,66.349998,49.252129,104521
25-06-2007,65.75,68.900002,65,67.400002,50.031551,103364
26-06-2007,65.099998,68,65.099998,67.050003,49.771751,77858
27-06-2007,67.5,69.699997,66.599998,68.900002,51.145004,158247
28-06-2007,69.900002,72.400002,69,71.650002,53.186359,579312
29-06-2007,72.400002,72.900002,70.150002,70.949997,52.66674,171342
02-07-2007,71.199997,72,70.5,71.400002,53.000782,129436
03-07-2007,72,72.25,71,71.5,53.07502,117532
04-07-2007,71.5,71.550003,69.5,70.25,52.147133,68601
05-07-2007,70.75,70.949997,69,70.050003,51.998676,104902
06-07-2007,69.900002,72.199997,69.5,70,51.961555,117214
09-07-2007,69.550003,72,69.550003,70.699997,52.481159,150533
10-07-2007,71.150002,71.150002,68.900002,69.150002,51.330589,67251
11-07-2007,69,72,68.25,70.150002,52.072891,120455
12-07-2007,70.949997,74.5,70,73.650002,54.670971,517825
13-07-2007,74.900002,75,71.050003,71.550003,53.112137,248124
16-07-2007,72,75.199997,71.449997,74.599998,55.376167,428352
17-07-2007,75,79,74.650002,75.099998,55.747334,707484
18-07-2007,75.099998,75.650002,72.900002,74.900002,55.598862,275642
19-07-2007,76.199997,77,75,76.099998,56.489628,313763
20-07-2007,77.25,78.949997,74.050003,76.949997,57.120594,894727
23-07-2007,75.550003,77.900002,74.75,75.650002,56.155598,344524
24-07-2007,76,77,74.099998,74.349998,55.190582,225546
25-07-2007,74,76.900002,73.300003,73.650002,54.670971,247369
26-07-2007,74.400002,74.75,72.5,73.300003,54.411182,105536
27-07-2007,72.599998,72.599998,68.5,70.199997,52.110008,168319
30-07-2007,70.099998,71.800003,69,69.75,51.775974,199400
31-07-2007,70.449997,72.949997,69.75,70.449997,52.295578,178503
01-08-2007,70.400002,70.400002,68.300003,68.650002,50.95945,130596
02-08-2007,69.300003,69.849998,67.050003,67.900002,50.402706,89520
03-08-2007,69.400002,69.650002,68.449997,68.599998,50.922321,68415
06-08-2007,67.199997,69.449997,64.5,68.699997,50.99654,86582
07-08-2007,69.449997,70.400002,68.300003,68.75,51.033669,68982
08-08-2007,69.699997,70.400002,68.849998,69.199997,51.367706,114615
09-08-2007,69.900002,72.599998,69,69.5,51.590389,196929
