Date,Open,High,Low,Close,Adj Close,Volume
01-01-2008,81.393768,83.221893,80.634392,82.462517,49.075085,16687746
02-01-2008,82.462517,83.081268,80.803146,82.01252,48.807281,13437280
03-01-2008,81.506271,85.725021,80.521896,85.38752,50.815807,31815218
04-01-2008,86.625023,87.750023,84.375023,84.937523,50.548012,28011310
07-01-2008,84.403145,86.175018,83.334396,84.234398,50.129555,15858063
08-01-2008,84.318771,85.500023,80.381271,81.365646,48.422325,13282666
09-01-2008,81.45002,81.815643,79.875015,80.071892,47.652382,13113527
10-01-2008,80.437523,82.687523,77.625015,78.159393,46.514214,18023003
11-01-2008,79.228142,80.100021,76.218765,79.340645,47.217201,11629440
14-01-2008,79.48127,81.393768,78.215645,80.550018,47.936913,10264240
15-01-2008,81.843773,82.181267,77.456268,78.103142,46.480732,11558334
16-01-2008,77.540642,78.187515,74.559395,76.500015,45.52668,14834065
17-01-2008,76.781265,80.296898,75.150017,78.553146,46.748543,16169395
18-01-2008,77.906265,77.990646,74.250015,74.896896,44.572639,13254156
21-01-2008,74.250015,74.250015,54.140636,62.156265,36.990421,33202389
22-01-2008,56.025013,59.062515,44.409386,55.912514,33.274658,58755707
23-01-2008,56.812515,64.54689,56.812515,62.156265,36.990421,28425991
24-01-2008,65.503143,66.712517,59.343765,62.29689,37.074116,29911930
25-01-2008,65.250015,65.812515,62.85939,65.503143,38.982224,12550722
28-01-2008,64.603142,66.712517,59.343765,66.206268,39.400658,13601109
29-01-2008,66.375015,67.331268,64.125015,65.10939,38.747898,7679877
30-01-2008,65.250015,65.531265,60.693764,61.509392,36.605465,9016102
31-01-2008,62.156265,62.325016,56.812515,57.487514,34.21196,41538563
01-02-2008,58.471889,59.906265,57.937515,59.48439,35.400349,9089201
04-02-2008,60.60939,63.281265,60.60939,62.550014,37.224751,12009385
05-02-2008,62.662514,65.334389,61.312515,64.490639,38.379665,14593303
06-02-2008,62.718765,64.687515,60.356266,63.928139,38.044899,12429218
07-02-2008,63.056267,65.221893,60.525017,60.918766,36.253975,11300078
08-02-2008,61.312515,61.818764,58.246887,59.343765,35.316666,13514197
11-02-2008,60.187515,60.187515,54.562511,55.153137,32.82272,15133331
12-02-2008,56.812515,57.178139,53.718761,54.168762,32.236904,10237627
13-02-2008,55.125011,55.828136,52.284389,53.381264,31.768246,10395753
14-02-2008,54.562511,58.64064,54.562511,58.050014,34.546719,12514003
15-02-2008,57.825012,60.187515,56.278137,59.709389,35.534241,12080990
18-02-2008,61.059391,61.059391,58.865639,59.371887,35.333393,6977153
19-02-2008,60.440639,60.581264,58.275013,58.725014,34.948418,7226542
