Date,Open,High,Low,Close,Adj Close,Volume
01-01-1997,14.333333,14.913333,14.333333,14.446666,11.195629,852000
02-01-1997,14.5,14.6,14.213333,14.333333,11.1078,717000
03-01-1997,14.22,15.083333,14.2,15.036666,11.652857,4381500
06-01-1997,15.133333,15.6,14.666666,15.306666,11.862098,4926000
07-01-1997,15.14,15.46,14.866666,15.14,11.732938,3696000
08-01-1997,15.566666,15.566666,15.216666,15.343333,11.890514,2458500
09-01-1997,15.333333,15.46,15.303333,15.383333,11.921511,2008500
10-01-1997,15.673333,15.736666,15.54,15.683333,12.153999,2134500
13-01-1997,15.473333,15.583333,15.203333,15.26,11.825933,592500
14-01-1997,15.273333,15.46,14.743333,14.856666,11.51336,1146000
15-01-1997,15.263333,15.896666,15.166666,15.843333,12.277994,3829500
16-01-1997,16,16.200001,15.033333,15.16,11.748435,3106500
17-01-1997,15.003333,15.283333,14.54,14.963333,11.596025,817500
20-01-1997,14.85,14.866666,14.333333,14.386666,11.149131,546000
21-01-1997,14.303333,15.266666,14.233333,15.03,11.647691,2232000
22-01-1997,15.333333,15.533333,15.086666,15.263333,11.828516,1656000
23-01-1997,15.263333,15.263333,15.263333,15.263333,11.828516,0
24-01-1997,15.466666,15.533333,15.066666,15.116666,11.714854,295500
27-01-1997,15.2,16,15.2,15.393333,11.929259,715500
28-01-1997,15.4,15.46,15.2,15.333333,11.882763,915000
29-01-1997,15.5,15.596666,15.31,15.393333,11.929259,595500
30-01-1997,15.4,15.586666,14.483333,15.19,11.771683,322500
31-01-1997,15.133333,15.133333,14.733333,15.026666,11.645105,456000
03-02-1997,15.026666,14.996666,14.733333,14.876666,11.528861,189000
04-02-1997,14.933333,15.066666,14.536666,14.663333,11.363535,301500
05-02-1997,15,15.133333,14.773333,14.8,11.46945,819000
06-02-1997,14.78,14.78,14.403333,14.546666,11.273128,175500
07-02-1997,14.656666,14.85,14.656666,14.823333,11.487532,253500
10-02-1997,14.6,14.86,14.6,14.773333,11.448784,55500
11-02-1997,14.866666,15.133333,14.866666,15.09,11.694189,229500
12-02-1997,15.2,15.233333,14.95,15.146666,11.738102,457500
13-02-1997,14.966666,15,14.95,15,11.624443,394500
14-02-1997,15.13,15.2,15.033333,15.08,11.686438,472500
17-02-1997,15,15,14.953333,14.953333,11.588277,18000
18-02-1997,14.966666,15.133333,14.933333,14.946666,11.583108,162000
19-02-1997,14.966666,15.263333,14.966666,15.16,11.748435,226500
20-02-1997,15.133333,15.133333,15,15.003333,11.627026,2287500
21-02-1997,15.133333,15.2,14.966666,15.126666,11.722602,156000
24-02-1997,15.003333,15.38,14.72,15.263333,11.828516,1095000
25-02-1997,15.043333,15.693333,15.036666,15.44,11.965425,711000
26-02-1997,15.166666,16,15.166666,15.436666,11.962841,1551000
27-02-1997,15.496666,15.8,15.496666,15.643333,12.123002,2016000
28-02-1997,16.403334,16.969999,16.403334,16.953333,13.1382,153000
03-03-1997,18.459999,19.41,18,19.333332,14.982612,852000
04-03-1997,18.816666,19.336666,18.816666,19.24,14.910286,519000
05-03-1997,19.5,20.566666,19.5,20.51,15.894493,1569000
06-03-1997,20.15,21.586666,20,21.296665,16.504118,1945500
07-03-1997,31.945,31.945,31.945,31.945,24.756182,0
10-03-1997,20.666666,20.85,20.083332,20.256666,15.698165,1267500
11-03-1997,20.233334,21.5,20.233334,21.223333,16.447292,682500
12-03-1997,21.326666,22.4,20.306665,20.83,16.142475,5316000
13-03-1997,21.166666,21.296665,20.503332,20.676666,16.023647,1218000
14-03-1997,20.666666,20.860001,20,20.540001,15.91773,2197500
17-03-1997,20.733334,20.799999,20.066666,20.486666,15.8764,2638500
18-03-1997,20.533333,20.93,20.466665,20.703333,16.04431,1579500
19-03-1997,21.163334,21.166666,20.666666,20.666666,16.0159,1159500
20-03-1997,20.683332,20.933332,20.433332,20.683332,16.028814,3111000
21-03-1997,20.936666,21.299999,20.763332,21.056665,16.318132,363000
24-03-1997,21.056665,21.056665,21.056665,21.056665,16.318132,0
25-03-1997,21.333332,21.666666,21.093332,21.26,16.475704,499500
26-03-1997,21.463333,22,21.25,21.876665,16.953604,1177500
27-03-1997,21.75,22,21.299999,21.883333,16.958769,1278000
28-03-1997,21.883333,21.883333,21.883333,21.883333,16.958769,0
31-03-1997,20.360001,20.366667,19.696667,19.709999,15.274517,324000
01-04-1997,19.1,21.193333,19.1,20.683332,16.028814,1257000
02-04-1997,21.133333,21.98,21.133333,21.809999,16.901937,1360500
03-04-1997,22.063334,23.336666,21.870001,23.336666,18.085049,2901000
04-04-1997,23.316666,23.983334,22.75,23.776667,18.426035,4963500
