Date,Open,High,Low,Close,Adj Close,Volume
01-01-2001,8.95,9,8.75,8.75,3.238909,29950
02-01-2001,8.6,9,8.5,8.7,3.220402,80531
03-01-2001,8.9,8.95,8.75,8.75,3.238909,43063
04-01-2001,9.15,9.15,8.65,8.7,3.220402,27650
05-01-2001,8.6,8.75,8.5,8.5,3.14637,16200
08-01-2001,8.45,8.5,8,8,2.961289,32230
09-01-2001,8.4,8.4,8,8.05,2.979796,8855
10-01-2001,8.2,8.35,8.15,8.35,3.090845,3600
11-01-2001,8.25,8.25,7.85,8,2.961289,17900
12-01-2001,7.85,8,7.85,7.9,2.924273,23450
15-01-2001,8.35,8.6,7.65,7.7,2.85024,68850
16-01-2001,7.8,7.9,7.65,7.7,2.85024,45550
17-01-2001,8,8.6,7.75,8.35,3.090845,71240
18-01-2001,8.5,8.5,8.25,8.4,3.109353,88529
19-01-2001,8.4,8.7,8.1,8.35,3.090845,119795
22-01-2001,8.4,8.45,8.05,8.25,3.053829,35062
23-01-2001,8.1,8.2,7.9,7.9,2.924273,189733
24-01-2001,8.05,8.2,7.5,7.7,2.85024,68005
25-01-2001,7.65,8.25,7.6,8.15,3.016813,69352
26-01-2001,8.15,8.15,8.15,8.15,3.016813,0
29-01-2001,7.8,8.2,7.8,8.1,2.998305,29905
30-01-2001,8,8.5,7.95,8,2.961289,303900
31-01-2001,8.45,9.25,8.2,8.75,3.238909,259735
01-02-2001,9,9.15,8.7,9,3.331449,114652
02-02-2001,9.15,10.9,9.15,9.9,3.664594,605642
05-02-2001,10.85,13,10.4,12.85,4.756569,1290382
06-02-2001,13.25,14.9,13,14.45,5.348829,1043650
07-02-2001,15.25,17.4,13.55,14.9,5.5154,1314212
08-02-2001,14.9,15,13.8,14.05,5.200763,459604
09-02-2001,14.45,15.5,14.15,14.35,5.31181,646185
12-02-2001,14.75,14.75,12.8,13.1,4.849109,339415
13-02-2001,12.65,13.05,12,12.15,4.497458,505691
14-02-2001,12.45,14,12,13.4,4.960159,527924
15-02-2001,13.55,14.1,12.55,12.75,4.719554,492347
