,Chandigarh,Delhi,Haryana,Himachal Pradesh,Jammu & Kashmir,Ladakh,Punjab,Rajasthan,Uttar Pradesh,Uttarakhand,Northern Region,Chhattisgarh,Gujarat,Madhya Pradesh,Maharashtra,Daman & Diu,Dadra & Nagar Haveli,Goa,Western Region,Andhra Pradesh,Telangana,Karnataka,Kerala,Tamil Nadu,Puducherry,Southern Region,Bihar,Jharkhand,Odisha,West Bengal,Sikkim,Eastern Region,Arunachal Pradesh,Assam,Manipur,Meghalaya,Mizoram,Nagaland,Tripura,North-Eastern Region,All India
2021-01-01,0.0,0.48,1.1,2.42,0.0,,2.17,0.7,0.0,0.9,7.77,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,14.35,0.0,0.0,0.0,14.35,0.47,0.0,1.29,2.64,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.72
2021-01-02,0.0,0.95,1.34,2.5,0.0,,2.17,0.68,0.0,0.83,8.469999999999999,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,15.19,0.0,0.0,0.0,15.19,0.53,0.0,1.28,2.64,0.0,4.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.31
2021-01-03,0.0,0.93,1.31,2.45,0.0,,2.17,0.65,0.0,0.88,8.39,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,13.93,0.0,0.0,0.0,13.93,0.47,0.0,1.28,2.64,0.0,4.390000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.91
2021-01-04,0.0,0.38,1.16,2.46,0.0,,2.17,0.73,0.0,0.85,7.75,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,14.7,0.0,0.0,0.0,14.7,0.28,0.0,1.29,2.64,0.0,4.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.86
2021-01-05,0.0,0.0,1.21,2.57,0.0,,2.17,0.67,0.0,0.87,7.489999999999999,0.0,0.0,1.1,0.0,0.0,0.0,0.0,1.1,0.0,0.0,14.58,0.0,0.0,0.0,14.58,0.43,0.0,1.28,2.64,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.520000000000003
2021-01-06,0.0,0.3,1.27,2.68,0.0,,2.17,0.51,0.0,0.49,7.42,0.0,0.0,1.1,0.0,0.0,0.0,0.0,1.1,0.0,0.0,15.38,0.0,0.0,0.0,15.38,0.24,0.0,1.29,2.88,0.0,4.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.31
2021-01-07,0.0,0.53,1.09,2.59,0.0,,1.88,0.67,0.0,0.41,7.17,0.0,0.0,1.1,0.0,0.0,0.0,0.0,1.1,0.0,0.0,13.39,0.0,0.0,0.0,13.39,0.52,0.0,1.28,2.88,0.0,4.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.34
2021-01-08,0.0,0.0,1.21,2.48,0.0,,1.88,0.67,0.0,0.8,7.04,0.0,0.0,1.1,0.0,0.0,0.0,0.0,1.1,0.0,0.0,14.86,0.0,0.0,0.0,14.86,0.37,0.0,1.28,2.64,0.0,4.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.29
2021-01-09,0.0,0.56,1.37,2.59,0.0,,1.88,0.85,0.0,0.92,8.17,0.0,0.0,1.1,0.0,0.0,0.0,0.0,1.1,0.0,0.0,13.88,0.0,0.0,0.0,13.88,0.32,0.0,1.85,2.64,0.0,4.8100000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.96
2021-01-10,0.0,0.55,1.28,2.39,0.0,,2.17,0.85,21.6,0.87,29.710000000000004,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.99,0.0,0.0,0.0,13.99,0.45,0.0,1.37,2.64,0.0,4.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.16
2021-01-11,0.0,0.51,1.36,2.85,0.0,,2.17,0.5,21.6,0.87,29.860000000000003,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.3,0.0,0.0,13.09,0.0,0.0,0.0,13.09,0.43,0.0,1.28,2.64,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.6
2021-01-12,0.0,0.57,1.26,2.92,0.0,,2.17,0.59,0.0,0.8,8.31,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.3,0.0,0.0,13.24,0.0,0.0,0.0,13.24,0.45,0.0,1.28,2.64,0.0,4.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.22
2021-01-13,0.0,0.0,1.28,2.48,0.0,,2.17,0.71,0.0,0.75,7.39,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.3,0.0,0.0,15.58,0.0,0.0,0.0,15.58,0.88,0.0,1.27,2.64,0.0,4.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.06
2021-01-14,0.0,0.57,1.22,2.85,0.0,,2.17,0.7,0.0,0.73,8.24,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.3,0.0,0.0,14.49,0.0,0.0,0.0,14.49,0.46,0.0,1.27,2.88,0.0,4.609999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.64
2021-01-15,0.0,1.16,1.46,2.75,0.0,,2.17,0.58,0.0,0.69,8.809999999999999,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,12.48,0.0,0.0,0.0,12.48,0.26,0.0,1.27,2.88,0.0,4.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9
2021-01-16,0.0,0.0,1.38,2.97,0.0,,1.88,0.69,0.0,0.66,7.58,0.0,0.0,1.1,0.0,0.0,0.0,0.0,1.1,0.0,0.0,13.4,0.0,0.0,0.0,13.4,0.37,0.0,1.27,2.64,0.0,4.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.36
2021-01-17,0.0,0.59,1.3,2.94,0.0,,2.17,0.54,0.0,0.72,8.26,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.3,0.0,0.0,13.66,0.0,0.0,0.0,13.66,0.27,0.0,1.34,2.64,0.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.47
2021-01-18,0.0,1.14,0.99,3.02,0.0,,2.17,0.46,19.2,0.82,27.8,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,14.71,0.0,0.0,0.0,14.71,0.49,0.0,1.44,2.64,0.0,4.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.28
2021-01-19,0.0,0.84,1.32,2.85,0.0,,2.17,0.3,19.2,0.71,27.39,0.0,0.0,1.1,0.0,0.0,0.0,0.0,1.1,0.0,0.0,14.77,0.0,0.0,0.0,14.77,0.33,0.0,1.27,2.64,0.0,4.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.50000000000001
2021-01-20,0.0,1.18,1.19,2.74,0.0,,2.17,0.31,0.0,0.75,8.34,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.79,0.0,0.0,0.0,14.79,0.38,0.0,1.27,2.64,0.0,4.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.42
2021-01-21,0.0,0.0,1.38,2.39,0.0,,2.17,0.63,0.0,0.77,7.34,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,0.0,15.11,0.0,0.0,0.0,15.11,0.5,0.0,1.27,2.64,0.0,4.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.76
2021-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,0.0,1.21,1.38,2.48,0.0,,2.17,0.71,0.0,0.64,8.59,0.0,0.0,1.1,0.0,0.0,0.0,0.0,1.1,0.0,0.0,14.7,0.0,0.0,0.0,14.7,0.44,0.0,1.27,2.88,0.0,4.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.98
2021-01-24,0.0,1.12,1.26,2.46,0.0,,2.17,0.89,0.0,0.83,8.729999999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.27,0.0,0.0,0.0,15.27,0.37,0.0,1.27,2.64,0.0,4.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.28
2021-01-25,0.0,0.69,1.27,2.48,0.0,,2.17,0.89,0.0,0.82,8.319999999999999,0.0,0.0,1.1,0.0,0.0,0.0,0.0,1.1,0.0,0.0,16.56,0.0,0.0,0.0,16.56,0.54,0.0,1.38,2.64,0.0,4.5600000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.54
2021-01-26,0.0,1.13,1.15,2.4,0.0,,2.17,0.64,0.0,0.85,8.34,0.0,0.0,1.1,0.0,0.0,0.0,0.0,1.1,0.0,0.0,16.82,0.0,0.0,0.0,16.82,0.47,0.0,1.61,2.64,0.0,4.720000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.98
2021-01-27,0.0,1.09,1.27,2.38,0.0,,2.17,0.88,0.0,0.72,8.51,0.0,0.0,1.1,0.0,0.0,0.0,0.0,1.1,0.0,0.0,15.29,0.0,0.0,0.0,15.29,0.33,0.0,1.26,2.64,0.0,4.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.13
2021-01-28,0.0,1.09,1.33,2.13,0.0,,2.17,0.88,0.0,0.74,8.34,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,13.52,0.0,0.0,0.0,13.52,0.49,0.0,1.28,2.64,0.0,4.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.47
2021-01-29,0.0,0.0,1.11,2.37,0.0,,2.17,0.7,0.0,0.81,7.16,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,16.0,0.0,0.0,0.0,16.0,0.31,0.0,1.28,2.64,0.0,4.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.59
2021-01-30,0.0,0.86,1.13,2.33,0.0,,2.17,0.88,0.0,0.76,8.13,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,15.83,0.0,0.0,0.0,15.83,0.43,0.0,1.28,2.88,0.0,4.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.75
2021-01-31,0.0,0.88,1.25,2.68,0.0,,2.17,0.85,0.0,0.75,8.58,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.78,0.0,0.0,0.0,14.78,0.54,0.0,1.28,2.88,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.06
2021-02-01,0.0,0.0,1.42,1.77,0.0,,2.17,0.82,0.0,0.75,6.93,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,0.0,11.95,0.0,0.0,0.0,11.95,0.53,0.0,1.28,2.64,0.0,4.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.23
2021-02-02,0.0,0.92,1.36,2.17,0.0,,2.17,0.81,0.0,0.72,8.15,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,0.0,17.03,0.0,0.0,0.0,17.03,0.57,0.0,1.69,2.64,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.980000000000004
2021-02-03,0.0,0.41,1.44,2.11,0.0,,2.17,0.67,0.0,0.71,7.51,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,0.0,13.79,0.0,0.0,0.0,13.79,0.58,0.0,1.5,2.64,0.0,4.720000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.92
2021-02-04,0.0,0.73,0.94,2.73,0.0,,2.17,0.5,0.0,0.7,7.77,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,0.0,13.52,0.0,0.0,0.0,13.52,0.63,0.0,1.28,2.64,0.0,4.550000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.74
2021-02-05,0.0,0.49,1.07,2.23,0.0,,2.17,0.63,0.0,0.76,7.35,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,0.0,13.52,0.0,0.0,0.0,13.52,0.35,0.0,1.27,2.64,0.0,4.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.03
2021-02-06,0.0,0.0,1.02,2.58,0.0,,2.17,0.51,0.0,0.72,6.999999999999999,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,0.0,15.09,0.0,0.0,0.0,15.09,0.28,0.0,1.27,2.64,0.0,4.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.18
2021-02-07,0.0,1.08,1.32,2.47,0.0,,2.17,0.51,19.2,0.7,27.45,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,0.0,14.56,0.0,0.0,0.0,14.56,0.77,0.0,1.28,2.88,0.0,4.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.84
2021-02-08,0.0,0.58,1.19,1.83,0.0,,2.17,0.63,19.2,0.62,26.22,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,0.0,14.6,0.0,0.0,0.0,14.6,0.6,0.0,1.27,2.88,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.47
2021-02-09,0.0,0.0,0.87,2.14,0.0,,2.17,0.67,0.0,0.71,6.56,0.0,0.0,1.1,0.0,0.0,0.0,0.0,1.1,0.0,0.0,15.42,0.0,0.0,0.0,15.42,0.58,0.0,1.27,2.64,0.0,4.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.57
2021-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,0.0,0.8,1.23,1.91,0.0,,2.17,0.67,0.0,0.73,7.51,0.0,0.0,1.1,0.0,0.0,0.0,0.0,1.1,0.0,0.0,16.06,0.0,0.0,0.0,16.06,0.55,0.0,2.0,2.64,0.0,5.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.86
2021-02-12,0.0,0.73,1.17,2.41,0.0,,2.17,0.84,0.0,0.73,8.05,0.0,0.0,1.1,0.0,0.0,0.0,0.0,1.1,0.0,0.0,13.21,0.0,0.0,0.0,13.21,0.57,0.0,1.28,2.64,0.0,4.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.85
2021-02-13,0.0,0.58,1.2,2.21,0.0,,2.17,0.67,0.0,0.75,7.58,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.61,0.0,0.0,0.0,13.61,0.55,0.0,1.28,2.64,0.0,4.470000000000001,0.0,0.17,0.0,0.0,0.0,0.0,0.02,0.19,26.85
2021-02-14,0.0,0.8,1.28,2.34,0.0,,2.17,0.67,19.2,0.73,27.19,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.84,0.0,0.0,0.0,14.84,0.58,0.0,1.28,2.64,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.53
2021-02-15,0.0,0.39,1.31,2.31,0.0,,2.17,0.67,19.2,0.72,26.77,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.43,0.0,0.0,0.0,14.43,0.58,0.0,0.0,2.88,0.0,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.66
2021-02-16,0.0,0.56,1.35,2.13,0.0,,2.17,0.67,0.0,0.72,7.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.5,0.0,0.0,0.0,12.5,0.52,0.0,1.28,2.88,0.0,4.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.78
2021-02-17,0.0,0.56,1.38,2.09,0.0,,2.17,0.83,19.2,0.73,26.96,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,12.67,0.0,0.0,0.0,12.67,0.59,0.0,1.28,2.64,0.0,4.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.84
2021-02-18,0.0,0.56,1.24,2.12,0.0,,2.17,0.66,0.0,0.73,7.48,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,12.09,0.0,0.0,0.0,12.09,0.47,0.0,1.42,2.64,0.0,4.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8
2021-02-19,0.0,0.96,1.3,2.03,0.0,,2.17,0.67,19.2,0.72,27.05,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,12.8,0.0,0.0,0.0,12.8,0.45,0.0,1.55,2.64,0.0,4.640000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.19
2021-02-20,0.0,0.0,1.28,2.09,0.0,,2.17,0.35,19.2,0.76,25.85,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0,11.8,0.0,0.0,0.0,11.8,0.57,0.0,1.28,2.64,0.0,4.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.940000000000005
2021-02-21,0.0,0.98,1.16,2.14,0.0,,2.17,0.63,0.0,0.73,7.809999999999999,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,0.0,13.03,0.0,0.0,0.0,13.03,0.6,0.0,1.28,2.64,0.0,4.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.26
2021-02-22,0.0,0.0,1.25,2.21,0.0,,2.17,0.7,0.0,0.74,7.07,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,13.91,0.0,0.0,0.0,13.91,0.58,0.0,1.28,2.64,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.98
2021-02-23,0.0,0.7,1.3,2.25,0.0,,2.17,0.67,19.2,0.68,26.97,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,13.97,0.0,0.0,0.0,13.97,1.22,0.0,1.28,2.88,0.0,5.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.82
2021-02-24,0.0,0.69,1.32,2.2,0.0,,2.17,0.85,0.0,0.72,7.949999999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.97,0.0,0.0,0.0,12.97,0.58,0.0,1.28,2.6,0.0,4.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.380000000000003
2021-02-25,0.0,0.0,1.12,2.69,0.0,,2.17,0.85,0.0,0.73,7.56,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.63,0.0,0.0,0.0,10.63,0.65,0.0,1.28,2.64,0.0,4.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.76
2021-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-27,0.0,0.64,1.32,2.22,0.0,,2.17,0.65,0.0,0.73,7.73,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.13,0.0,0.0,0.0,10.13,0.64,0.0,1.8,2.64,0.0,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.94
2021-02-28,0.0,0.73,1.32,2.44,0.0,,2.17,0.66,0.0,0.79,8.11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.78,0.0,0.0,0.0,10.78,0.65,0.0,1.28,2.64,0.0,4.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.46
2021-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,0.0,0.0,1.13,2.19,0.0,,2.17,0.36,0.0,0.76,6.61,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.69,0.0,0.0,0.0,12.69,0.65,0.0,1.28,2.64,0.0,4.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.87
2021-03-03,0.0,0.51,1.11,2.27,0.0,,2.17,0.43,19.2,0.77,26.46,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.95,0.0,0.0,0.0,10.95,0.67,0.0,1.28,2.88,0.0,4.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.24
2021-03-04,0.0,0.0,1.27,2.34,0.0,,2.17,0.81,0.0,0.79,7.38,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,0.0,12.16,0.0,0.0,0.0,12.16,0.67,0.0,1.28,2.88,0.0,4.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.27
2021-03-05,0.0,0.18,1.28,2.4,0.0,,2.17,0.84,0.0,0.8,7.669999999999999,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,0.0,13.33,0.0,0.0,0.0,13.33,0.66,0.0,1.28,2.64,0.0,4.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.48
2021-03-06,0.0,0.62,1.27,2.39,0.0,,2.17,0.67,0.0,0.89,8.01,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,0.0,10.8,0.0,0.0,0.0,10.8,0.67,0.0,1.81,2.64,0.0,5.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.83
2021-03-07,0.0,0.97,1.26,2.47,0.0,,2.17,0.66,0.0,0.78,8.31,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.44,0.0,0.0,0.0,12.44,0.47,0.0,1.83,2.64,0.0,4.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.69
2021-03-08,0.0,1.12,1.36,2.33,0.0,,2.17,0.67,0.0,0.76,8.41,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0,10.2,0.0,0.0,0.0,10.2,0.61,0.0,1.28,2.64,0.0,4.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.94
2021-03-09,0.0,0.66,1.37,2.25,0.0,,2.17,0.51,0.0,0.75,7.71,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0,10.29,0.0,0.0,0.0,10.29,0.59,0.0,1.28,2.64,0.0,4.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.309999999999995
2021-03-10,0.0,0.0,1.1,2.4,0.0,,2.17,0.5,0.0,0.72,6.89,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0,11.37,0.0,0.0,0.0,11.37,0.57,0.0,1.28,2.64,0.0,4.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.55
2021-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
