,Chandigarh,Delhi,HARYANA,HIMACHAL PRADESH,Jammu & Kashmir,Ladakh,PUNJAB,RAJASTHAN,UTTAR PRADESH,Uttarakhand,Northern Region,Chhattisgarh,GUJARAT,MADHYA PRADESH,MAHARASHTRA,Daman & Diu,Dadra & Nagar Haveli,Goa,Western Region,ANDHRA PRADESH,TELANGANA,KARNATAKA,Kerala,Tamil Nadu,Puducherry,Southern Region,BIHAR,Jharkhand,ORISSA,West Bengal,Sikkim,Eastern Region,Arunachal Pradesh,Assam,Manipur,Meghalaya,Mizoram,Nagaland,Tripura,North-Eastern Region,All India
2021-01-01,0.0,0.0,0.08,0.0,0.0,,2.73,26.16,4.32,0.38,33.67,0.1,13.36,9.23,5.9,0.0,0.0,0.0,28.59,11.67,15.2,33.05,0.4,17.5,0.0,77.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.08000000000000
2021-01-02,0.0,0.0,0.04,0.0,0.0,,1.16,17.31,4.4,0.27,23.18,0.8,13.45,8.8,5.8,0.0,0.0,0.0,28.85,10.27,16.77,31.01,0.38,14.1,0.0,72.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.56
2021-01-03,0.0,0.0,0.04,0.0,0.0,,1.23,17.09,3.43,0.15,21.94,0.9,12.64,7.64,6.1,0.0,0.0,0.0,27.28,12.23,17.74,31.62,0.39,10.7,0.0,72.68000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.9
2021-01-04,0.0,0.0,0.07,0.0,0.0,,1.26,12.17,2.84,0.36,16.7,0.7,11.670000000000000,7.48,3.3,0.0,0.0,0.0,23.15,13.740000000000000,19.57,36.96,0.38,8.5,0.0,79.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
2021-01-05,0.0,0.0,0.03,0.0,0.0,,0.87,5.640000000000000,0.39,0.23,7.160000000000000,0.9,11.61,6.680000000000000,4.4,0.0,0.0,0.0,23.590000000000000,8.38,17.76,33.7,0.43,12.5,0.0,72.77000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.52
2021-01-06,0.0,0.0,0.03,0.03,0.0,,0.78,17.97,5.200000000000000,0.23,24.24,0.1,14.56,9.31,5.7,0.0,0.0,0.0,29.67,5.08,7.4,18.16,0.34,11.9,0.0,42.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.79
2021-01-07,0.0,0.0,0.03,0.05,0.0,,1.45,24.96,3.23,0.54,30.26,0.1,14.79,8.06,4.2,0.0,0.0,0.0,27.15,7.58,9.7,15.07,0.39,10.0,0.0,42.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.15
2021-01-08,0.0,0.0,0.06,0.0,0.0,,2.02,28.03,3.67,0.54,34.32,0.0,15.28,10.41,4.1,0.0,0.0,0.0,29.79,12.35,15.83,25.5,0.33,10.2,0.0,64.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.32
2021-01-09,0.0,0.0,0.07,0.0,0.0,,1.31,20.89,2.35,0.52,25.14,0.1,14.58,3.17,4.6,0.0,0.0,0.0,22.450000000000000,9.84,19.21,20.31,0.29,9.4,0.0,59.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.64
2021-01-10,0.0,0.0,0.1,0.0,0.0,,2.53,28.07,4.86,0.15,35.71,0.8,13.52,4.84,6.6,0.0,0.0,0.0,25.76,11.75,18.61,35.97,0.41,8.9,0.0,75.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.11
