,Chandigarh,Delhi,Haryana,Himachal Pradesh,Jammu & Kashmir,Ladakh,Punjab,Rajasthan,Uttar Pradesh,Uttarakhand,Northern Region,Chhattisgarh,Gujarat,Madhya Pradesh,Maharashtra,Daman & Diu,Dadra & Nagar Haveli,Goa,Western Region,Andhra Pradesh,Telangana,Karnataka,Kerala,Tamil Nadu,Puducherry,Southern Region,Bihar,Jharkhand,Odisha,West Bengal,Sikkim,Eastern Region,Arunachal Pradesh,Assam,Manipur,Meghalaya,Mizoram,Nagaland,Tripura,North-Eastern Region,All India
2021-01-01,0.0,0.48,1.1800000000000002,2.42,0.0,,4.9,47.03,4.32,1.28,61.61000000000001,0.1,60.870000000000005,27.23,20.0,0.0,0.0,0.0,108.2,28.6,15.98,76.11,0.88,44.760000000000005,0.0,166.32999999999998,0.47,0.0,1.29,2.64,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.54
2021-01-02,0.0,0.95,1.38,2.5,0.0,,3.33,44.37,4.4,1.1,58.03,0.8,56.78,24.0,18.7,0.0,0.0,0.0,100.28,17.95,17.52,73.14,0.81,39.14,0.0,148.56,0.53,0.0,1.28,2.64,0.0,4.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.32
2021-01-03,0.0,0.93,1.35,2.45,0.0,,3.4,29.06,3.43,1.03,41.65,0.9,53.91,13.14,14.5,0.0,0.0,0.0,82.45,26.89,18.61,66.43,0.73,36.09,0.0,148.75,0.47,0.0,1.28,2.64,0.0,4.390000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.24
2021-01-04,0.0,0.38,1.23,2.46,0.0,,3.43,31.610000000000003,2.84,1.21,43.16,0.7,46.81,19.88,11.9,0.0,0.0,0.0,79.28999999999999,29.090000000000003,20.59,70.77,0.6699999999999999,23.82,0.0,144.94,0.28,0.0,1.29,2.64,0.0,4.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.6
2021-01-05,0.0,0.0,1.24,2.57,0.0,,3.04,17.96,0.39,1.1,26.300000000000004,0.9,56.19,21.58,10.3,0.0,0.0,0.0,88.97,20.11,18.450000000000003,64.16000000000001,0.7,27.65,0.0,131.07000000000002,0.43,0.0,1.28,2.64,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.69000000000003
2021-01-06,0.0,0.3,1.3,2.71,0.0,,2.95,25.64,5.199999999999999,0.72,38.81999999999999,0.1,73.91,14.71,11.6,0.0,0.0,0.0,100.32,10.39,7.71,44.97,0.47,15.17,0.0,78.71,0.24,0.0,1.29,2.88,0.0,4.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.26
2021-01-07,0.0,0.53,1.12,2.64,0.0,,3.33,36.18000000000001,3.23,0.95,47.98,0.1,90.44,18.46,12.7,0.0,0.0,0.0,121.7,16.619999999999997,9.98,44.620000000000005,0.6,14.95,0.0,86.77,0.52,0.0,1.28,2.88,0.0,4.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.13
2021-01-08,0.0,0.0,1.27,2.48,0.0,,3.9,39.7,3.67,1.34,52.36000000000001,0.0,95.74,16.51,10.5,0.0,0.0,0.0,122.75,24.7,16.39,51.68,0.47,15.15,0.0,108.39,0.37,0.0,1.28,2.64,0.0,4.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.79
2021-01-09,0.0,0.56,1.4400000000000002,2.59,0.0,,3.19,46.67,2.35,1.44,58.24,0.1,99.68,7.07,9.8,0.0,0.0,0.0,116.65,20.56,19.880000000000003,48.48,0.53,19.55,0.0,109.0,0.32,0.0,1.85,2.64,0.0,4.8100000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.7
2021-01-10,0.0,0.55,1.38,2.39,0.0,,4.699999999999999,48.99,26.46,1.02,85.49,0.8,72.89,8.64,13.0,0.0,0.0,0.0,95.33,21.15,19.41,62.71,0.61,19.73,0.0,123.61,0.45,0.0,1.37,2.64,0.0,4.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.89
2021-01-11,0.0,0.51,1.4700000000000002,2.85,0.0,,4.72,38.99,26.36,1.08,75.98,0.8,66.86,14.08,15.6,0.0,0.0,0.0,97.34,15.74,17.310000000000002,58.66,0.5,26.85,0.0,119.06,0.43,0.0,1.28,2.64,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.73
2021-01-12,0.0,0.57,1.36,2.92,0.0,,4.449999999999999,35.38,6.86,0.98,52.52,0.7,66.79,21.03,14.0,0.0,0.0,0.0,102.52,19.62,16.13,71.97,0.72,42.61,0.0,151.05,0.45,0.0,1.28,2.64,0.0,4.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.46000000000004
2021-01-13,0.0,0.0,1.4,2.48,0.0,,4.17,35.13,5.94,1.26,50.38,1.0,40.39,21.01,14.1,0.0,0.0,0.0,76.5,21.44,17.229999999999997,80.36,0.81,32.57,0.0,152.41,0.88,0.0,1.27,2.64,0.0,4.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.08
