,Chandigarh,Delhi,HARYANA,HIMACHAL PRADESH,Jammu & Kashmir,Ladakh,PUNJAB,RAJASTHAN,UTTAR PRADESH,Uttarakhand,Northern Region,Chhattisgarh,GUJARAT,MADHYA PRADESH,MAHARASHTRA,Daman & Diu,Dadra & Nagar Haveli,Goa,Western Region,ANDHRA PRADESH,TELANGANA,KARNATAKA,Kerala,Tamil Nadu,Puducherry,Southern Region,BIHAR,Jharkhand,ORISSA,West Bengal,Sikkim,Eastern Region,Arunachal Pradesh,Assam,Manipur,Meghalaya,Mizoram,Nagaland,Tripura,North-Eastern Region,All India
2021-01-01,0.0,0.0,0.0,0.0,0.0,,0.0,20.17,0.0,0.0,20.17,0.0,47.510000000000000,16.8,14.1,0.0,0.0,0.0,78.41,16.93,0.78,28.71,0.48,27.26,0.0,74.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.74
2021-01-02,0.0,0.0,0.0,0.0,0.0,,0.0,26.38,0.0,0.0,26.38,0.0,43.33,14.0,12.9,0.0,0.0,0.0,70.23,7.68,0.75,26.94,0.43,25.04,0.0,60.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.45
2021-01-03,0.0,0.0,0.0,0.0,0.0,,0.0,11.32,0.0,0.0,11.32,0.0,41.27,4.3,8.4,0.0,0.0,0.0,53.97,14.66,0.87,20.88,0.34,25.39,0.0,62.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.43
2021-01-04,0.0,0.0,0.0,0.0,0.0,,0.0,18.71,0.0,0.0,18.71,0.0,35.14,11.2,8.6,0.0,0.0,0.0,54.940000000000000,15.35,1.02,19.11,0.29,15.32,0.0,51.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.74
2021-01-05,0.0,0.0,0.0,0.0,0.0,,0.0,11.65,0.0,0.0,11.65,0.0,44.58,13.8,5.9,0.0,0.0,0.0,64.28,11.73,0.69,15.88,0.27,15.15,0.0,43.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.65
2021-01-06,0.0,0.0,0.0,0.0,0.0,,0.0,7.16,0.0,0.0,7.16,0.0,59.35,4.3,5.9,0.0,0.0,0.0,69.55,5.31,0.31,11.43,0.13,3.27,0.0,20.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.16
2021-01-07,0.0,0.0,0.0,0.0,0.0,,0.0,10.55,0.0,0.0,10.55,0.0,75.65,9.3,8.5,0.0,0.0,0.0,93.45,9.04,0.28,16.16,0.21,4.950000000000000,0.0,30.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.64
2021-01-08,0.0,0.0,0.0,0.0,0.0,,0.0,11.0,0.0,0.0,11.0,0.0,80.46000000000000,5.0,6.4,0.0,0.0,0.0,91.86,12.35,0.56,11.32,0.14,4.95,0.0,29.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.18
2021-01-09,0.0,0.0,0.0,0.0,0.0,,0.0,24.93,0.0,0.0,24.93,0.0,85.1,2.8,5.2,0.0,0.0,0.0,93.1,10.72,0.67,14.29,0.24,10.15,0.0,36.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.1
2021-01-10,0.0,0.0,0.0,0.0,0.0,,0.0,20.07,0.0,0.0,20.07,0.0,59.37,2.8,6.4,0.0,0.0,0.0,68.57,9.4,0.8,12.75,0.2,10.83,0.0,33.980000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.62
2021-01-11,0.0,0.0,0.0,0.0,0.0,,0.0,7.44,0.0,0.0,7.44,0.0,51.86,2.6,8.3,0.0,0.0,0.0,62.760000000000000,6.07,0.44,18.27,0.23,20.35,0.0,45.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.56
2021-01-12,0.0,0.0,0.0,0.0,0.0,,0.0,3.37,0.0,0.0,3.37,0.0,51.09,7.1,7.4,0.0,0.0,0.0,65.59,7.32,0.29,26.45,0.47,36.61,0.0,71.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.10000000000000
2021-01-13,0.0,0.0,0.0,0.0,0.0,,0.0,2.53,0.0,0.0,2.53,0.0,25.16,6.0,7.1,0.0,0.0,0.0,38.26,9.38,0.4,28.24,0.55,28.270000000000000,0.0,66.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.63
2021-01-14,0.0,0.0,0.0,0.0,0.0,,0.0,6.33,0.0,0.0,6.33,0.0,9.89,10.3,4.9,0.0,0.0,0.0,25.09,11.76,0.54,21.29,0.37,17.700000000000000,0.0,51.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.08
2021-01-15,0.0,0.0,0.0,0.0,0.0,,0.0,16.25,0.0,0.0,16.25,0.0,13.75,11.3,7.3,0.0,0.0,0.0,32.35,11.14,0.29,16.95,0.38,9.0,0.0,37.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.36
2021-01-16,0.0,0.0,0.0,0.0,0.0,,0.0,18.19,0.0,0.0,18.19,0.0,20.71,6.2,5.8,0.0,0.0,0.0,32.71,8.65,0.41,15.39,0.22,9.43,0.0,34.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0
2021-01-17,0.0,0.0,0.0,0.0,0.0,,0.0,9.67,0.0,0.0,9.67,0.0,17.560000000000000,13.2,8.8,0.0,0.0,0.0,39.56,13.85,0.65,19.45,0.3,11.99,0.0,46.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.47
2021-01-18,0.0,0.0,0.0,0.0,0.0,,0.0,30.89,0.0,0.0,30.89,0.0,30.66,7.2,10.2,0.0,0.0,0.0,48.06,12.43,0.46,25.04,0.4,21.79,0.0,60.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.07
2021-01-19,0.0,0.0,0.0,0.0,0.0,,0.0,10.2,0.0,0.0,10.2,0.0,33.8,4.0,7.9,0.0,0.0,0.0,45.7,4.29,0.29,13.8,0.23,10.35,0.0,28.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.86000000000000
2021-01-20,0.0,0.0,0.0,0.0,0.0,,0.0,4.79,0.0,0.0,4.79,0.0,21.27,2.9,4.4,0.0,0.0,0.0,28.57,2.03,0.31,7.55,0.11,7.34,0.0,17.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.7
2021-01-21,0.0,0.0,0.0,0.0,0.0,,0.0,5.33,0.0,0.0,5.33,0.0,11.67,1.9,3.8,0.0,0.0,0.0,17.37,2.5,0.13,3.77,0.09,5.93,0.0,12.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.120000000000000
2021-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,0.0,0.0,0.0,0.0,0.0,,0.0,20.29,0.0,0.0,20.29,0.0,21.95,4.9,5.1,0.0,0.0,0.0,31.950000000000000,7.5,0.36,9.39,0.16,10.28,0.0,27.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.93
2021-01-24,0.0,0.0,0.0,0.0,0.0,,0.0,10.05,0.0,0.0,10.05,0.0,35.87,9.0,6.4,0.0,0.0,0.0,51.27,5.52,0.39,8.14,0.19,11.67,0.0,25.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.23000000000000
2021-01-25,0.0,0.0,0.0,0.0,0.0,,0.0,12.06,0.0,0.0,12.06,0.0,46.57,15.2,4.0,0.0,0.0,0.0,65.77,7.06,0.41,12.49,0.4,12.38,0.0,32.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.57
2021-01-26,0.0,0.0,0.0,0.0,0.0,,0.0,6.79,0.0,0.0,6.79,0.0,36.83,12.8,3.9,0.0,0.0,0.0,53.53,9.02,0.51,10.41,0.26,16.08,0.0,36.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.6
2021-01-27,0.0,0.0,0.0,0.0,0.0,,0.0,8.73,0.0,0.0,8.73,0.0,31.43,12.8,4.2,0.0,0.0,0.0,48.43000000000000,14.42,0.39,14.79,0.24,16.32,0.0,46.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.32
2021-01-28,0.0,0.0,0.0,0.0,0.0,,0.0,5.29,0.0,0.0,5.29,0.0,35.06,13.6,6.3,0.0,0.0,0.0,54.96,14.7,0.67,21.47,0.38,21.11,0.0,58.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.58
2021-01-29,0.0,0.0,0.0,0.0,0.0,,0.0,4.38,0.0,0.0,4.38,0.0,49.2,12.2,5.5,0.0,0.0,0.0,66.90000000000000,8.01,0.42,17.45,0.18,14.56,0.0,40.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.90000000000000
2021-01-30,0.0,0.0,0.0,0.0,0.0,,0.0,3.07,0.0,0.0,3.07,0.0,34.06,6.9,6.0,0.0,0.0,0.0,46.96,7.95,0.36,11.26,0.21,14.43,0.0,34.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.24000000000000
2021-01-31,0.0,0.0,0.0,0.0,0.0,,0.0,8.88,0.0,0.0,8.88,0.0,16.03,4.3,6.2,0.0,0.0,0.0,26.53,13.65,0.57,16.37,0.29,14.45,0.0,45.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.74000000000000
2021-02-01,0.0,0.0,0.0,0.0,0.0,,0.0,6.17,0.0,0.0,6.17,0.0,17.24,4.7,9.1,0.0,0.0,0.0,31.04,13.83,0.69,23.03,0.36,27.44,0.0,65.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.56
2021-02-02,0.0,0.0,0.0,0.0,0.0,,0.0,5.06,0.0,0.0,5.06,0.0,12.08,2.4,13.3,0.0,0.0,0.0,27.78,13.51,0.89,24.77,0.36,29.85,0.0,69.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.22
2021-02-03,0.0,0.0,0.0,0.0,0.0,,0.0,4.27,0.0,0.0,4.27,0.0,13.82,2.2,11.8,0.0,0.0,0.0,27.82,12.3,0.55,24.44,0.33,26.34,0.0,63.96000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.05
2021-02-04,0.0,0.0,0.0,0.0,0.0,,0.0,24.03,0.0,0.0,24.03,0.0,24.34,4.2,9.9,0.0,0.0,0.0,38.44,12.49,0.47,22.75,0.33,26.1,0.0,62.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.61
2021-02-05,0.0,0.0,0.0,0.0,0.0,,0.0,9.98,0.0,0.0,9.98,0.0,48.53,12.9,6.7,0.0,0.0,0.0,68.13,9.97,0.5,17.12,0.19,20.1,0.0,47.88000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.99
2021-02-06,0.0,0.0,0.0,0.0,0.0,,0.0,4.54,0.0,0.0,4.54,0.0,68.62,13.2,12.1,0.0,0.0,0.0,93.92,12.43,0.83,11.79,0.21,16.39,0.0,41.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.11
2021-02-07,0.0,0.0,0.0,0.0,0.0,,0.0,2.66,0.0,0.0,2.66,0.0,53.28,7.8,15.0,0.0,0.0,0.0,76.08,11.82,0.51,22.63,0.31,21.9,0.0,57.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.91
2021-02-08,0.0,0.0,0.0,0.0,0.0,,0.0,2.48,0.0,0.0,2.48,0.0,53.28,7.8,15.0,0.0,0.0,0.0,76.08,11.87,0.42,30.06,0.51,33.59,0.0,76.45000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.01
2021-02-09,0.0,0.0,0.0,0.0,0.0,,0.0,6.85,0.0,0.0,6.85,0.0,13.1,0.3,6.7,0.0,0.0,0.0,20.1,8.23,0.17,16.8,0.46,28.85,0.0,54.510000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.46000000000000
2021-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,0.0,0.0,0.0,0.0,0.0,,0.0,4.58,0.0,0.0,4.58,0.0,6.07,6.2,4.2,0.0,0.0,0.0,16.47,12.18,0.54,11.8,0.25,19.43,0.0,44.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.25
2021-02-12,0.0,0.0,0.0,0.0,0.0,,0.0,10.61,0.0,0.0,10.61,0.0,4.84,7.9,6.4,0.0,0.0,0.0,19.14,13.33,0.62,20.09,0.19,12.66,0.0,46.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.64
2021-02-13,0.0,0.0,0.0,0.0,0.0,,0.0,4.93,0.0,0.0,4.93,0.0,7.51,6.0,7.4,0.0,0.0,0.0,20.91,10.2,0.59,19.13,0.13,7.41,0.0,37.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.3
